Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,status
102719_0,-27.850646712479033,5.0879699338466455,True,ok
102725_0,-450.187934568601,100000.00012334171,False,ok
102733_0,-379.0677155758598,100000.00011948445,False,ok
10273_1,-22.868504864658576,1.5145585451094714,True,ok
102747_0,-378.9508703840258,100000.00011948445,False,ok
102755_0,-450.0710893767669,100000.00012334171,False,ok
102761_0,-378.9508703840258,100000.00011948445,False,ok
102769_0,-378.951103660713,100000.00011948445,False,ok
102777_0,-378.95087038402585,100000.00011948445,False,ok
102783_0,-379.0677155758601,100000.00011948445,False,ok
102791_0,-378.95087038402585,100000.00011948445,False,ok
102799_0,-378.95110366071304,100000.00011948445,False,ok
102804_0,-379.06771557585967,100000.00011948445,False,ok
102810_0,-29.4113608004933,4.850330525025996,True,ok
102818_0,-379.06771557585984,100000.00011948445,False,ok
102826_0,-378.95087038402636,100000.00011948445,False,ok
102832_0,-378.95087038402636,100000.00011948445,False,ok
102840_0,-29.411360800493526,4.850330525025996,True,ok
102848_0,-379.0677155758597,100000.00011948445,False,ok
102854_0,-440.55761235521396,100000.00012631397,False,ok
102862_0,-378.9508703840263,100000.00011948445,False,ok
10286_0,-29.44516175765608,1.879800286658624,True,ok
102876_0,-450.18306442579956,100000.00012334171,False,ok
102884_0,-379.0628454330586,100000.00011948445,False,ok
102890_0,-379.06307870974547,100000.00011948445,False,ok
102898_0,-379.0677155758597,100000.00011948445,False,ok
102905_0,-379.18456076769377,100000.00011948445,False,ok
102911_0,-379.14207877248697,100000.00011948445,False,ok
102919_0,-379.06771557586023,100000.00011948445,False,ok
102927_0,-378.9508703840261,100000.00011948445,False,ok
102933_0,-27.733801520645216,5.0879699338466455,True,ok
102941_0,-379.06771557586006,100000.00011948445,False,ok
102949_0,-378.95087038402573,100000.00011948445,False,ok
102955_0,-379.02523358065304,100000.00011948445,False,ok
102963_0,-440.55761235521396,100000.00012631397,False,ok
10296_1,-22.868504864658917,1.5145585451094714,True,ok
102977_0,-378.95521111857727,100000.00011948445,False,ok
102983_0,-379.06771557585967,100000.00011948445,False,ok
102991_0,-356.78539475712324,100000.00020282238,False,ok
102999_0,-379.06771557585955,100000.00011948445,False,ok
103002_0,-379.0677155758599,100000.00011948445,False,ok
103010_0,-378.95087038402585,100000.00011948445,False,ok
103018_0,-378.95087038402585,100000.00011948445,False,ok
103024_0,-440.55761235521385,100000.00012631397,False,ok
103032_0,-378.95087038402585,100000.00011948445,False,ok
10303_0,-22.868504864658803,1.5145585451094714,True,ok
103046_0,-379.0677155758599,100000.00011948445,False,ok
103054_0,-27.73380152064533,5.0879699338466455,True,ok
103060_0,-379.06771557585955,100000.00011948445,False,ok
103068_0,-378.95087038402596,100000.00011948445,False,ok
103076_0,-379.0252335806529,100000.00011948445,False,ok
103082_0,-378.950870384026,100000.00011948445,False,ok
10308_0,-22.868504864658973,1.5145585451094714,True,ok
103096_0,-378.9508703840261,100000.00011948445,False,ok
103102_0,-31.02724562974032,4.850330525025996,True,ok
10310_0,-22.86850486465869,1.5145585451094716,True,ok
103116_0,-379.06771557586006,100000.00011948445,False,ok
103122_0,-379.02523358065315,100000.00011948445,False,ok
103130_0,-378.9508703840263,100000.00011948445,False,ok
103138_0,-353.8332029618216,100000.00012971189,False,ok
103144_0,-379.0677155758599,100000.00011948445,False,ok
103150_0,-378.95087038402585,100000.00011948445,False,ok
103158_0,-378.9508703840263,100000.00011948445,False,ok
103166_0,-31.02724562974055,4.850330525025996,True,ok
103172_0,-27.733801520645386,5.0879699338466455,True,ok
103180_0,-378.9508703840259,100000.00011948445,False,ok
103188_0,-378.9508703840262,100000.00011948445,False,ok
103194_0,-378.9552111185774,100000.00011948445,False,ok
103201_0,-378.9508703840261,100000.00011948445,False,ok
103209_0,-27.733801520645443,5.0879699338466455,True,ok
103215_0,-379.0677155758599,100000.00011948445,False,ok
103221_0,-379.06771557586023,100000.00011948445,False,ok
103229_0,-378.9508703840262,100000.00011948445,False,ok
103237_0,-379.0677155758597,100000.00011948445,False,ok
103243_0,-379.02523358065315,100000.00011948445,False,ok
103251_0,-378.9508703840263,100000.00011948445,False,ok
103259_0,-378.9508703840264,100000.00011948445,False,ok
103265_0,-378.9508703840263,100000.00011948445,False,ok
103273_0,-378.9508703840262,100000.00011948445,False,ok
10327_1,-22.868504864658803,1.5145585451094714,True,ok
103287_0,-379.06771557586,100000.00011948445,False,ok
103295_0,-356.90223994895723,100000.00020282238,False,ok
