Generation	Smiles
G4	C(C(C(NC(C(C=N)=N)=N)=N)N)#N
G4	C(C(C(NC(C(C=N)=O)=N)=N)=N)=N
G4	C(C(NC(C(C(C=N)=N)=N)=N)=N)=O
G4	C(C(NC(C(C=O)=N)=N)=N)=O
G4	C(C(C(NC(C=O)=N)=N)O)#N
G4	C(C(C(NC(C=O)=N)=N)N)#N
G4	C(C(C(NC(C=O)=N)=N)NC=N)#N
G4	C(C(NC(C(C=N)=O)=N)=N)=O
G4	C(N(C(C=O)=N)C(C(C=O)=N)=N)=N
G4	C(C(C(N(C=N)C(C=O)=N)=N)O)#N
G4	C(C(C(N(C=N)C(C=O)=N)=N)N)#N
G4	C(N(C(C=O)=N)C(C(C=N)=O)=N)=N
G4	C(N(C(C=O)=N)C(C(C=O)=N)=N)=O
G4	C(C(C(N(C=O)C(C=O)=N)=N)O)#N
G4	C(C(C(N(C=O)C(C=O)=N)=N)N)#N
G4	C(N(C(C=O)=N)C(C(C=N)=O)=N)=O
G4	C(N(C(C=N)=O)C(C(C=O)=N)=N)=N
G4	C(C(C(N(C=N)C(C=N)=O)=N)O)#N
G4	C(C(C(N(C=N)C(C=N)=O)=N)N)#N
G4	C(N(C(C=N)=O)C(C(C=N)=O)=N)=N
G4	C(C(C#N)NC(C(C(C=N)=N)=N)=N)#N
G4	C(N(C=O)C(C(C(C=N)=N)=N)=N)=O
G4	C(C(NC(C(C(C=N)=N)=N)=N)=O)=O
G4	C(C(C#N)NC(C(C=O)=N)=N)#N
G4	C(C(C#N)N(C=N)C(C(C=O)=N)=N)#N
G4	C(N(C(C=N)=O)C(C(C=O)=N)=N)=O
G4	C(N(C=O)C(C(C=O)=N)=N)=O
G4	C(C(NC(C(C=O)=N)=N)=O)=O
G4	C(C(C(NC(C(C=N)=N)=O)=N)=N)=O
G4	C(C(C#N)NC(C(C#N)O)=N)#N
G4	C(C(C#N)N(C=N)C(C(C#N)O)=N)#N
G4	C(C(C(N(C=O)C(C=N)=O)=N)O)#N
G4	C(C(C(N(C=O)C=O)=N)O)#N
G4	C(C(C(NC(C=O)=O)=N)O)#N
G4	C(C(C(NC(C(C=N)=N)=O)=N)O)#N
G4	C(C(C#N)NC(C(C#N)N)=N)#N
G4	C(C(C#N)N(C=N)C(C(C#N)N)=N)#N
G4	C(C(C#N)NC(C(C#N)NC=N)=N)#N
G4	C(C(C(N(C=O)C(C=N)=O)=N)N)#N
G4	C(C(C(N(C=O)C=O)=N)N)#N
G4	C(C(C#N)NC(C(C=N)=O)=N)#N
G4	C(C(C(NC(C=O)=O)=N)N)#N
G4	C(C(C(NC(C(C=N)=N)=O)=N)N)#N
G4	C(C(C(N(C=O)C=O)=N)NC=N)#N
G4	C(C(C#N)N(C=N)C(C(C=N)=O)=N)#N
G4	C(C(C(NC(C=O)=O)=N)NC=N)#N
G4	C(N(C(C=N)=O)C(C(C=N)=O)=N)=O
G4	C(N(C=O)C(C(C=N)=O)=N)=O
G4	C(C(NC(C(C=N)=O)=N)=O)=O
G4	C(C(C=N)=N)(NC(C(C=N)=O)=N)=O
G4	C(C(C(C(N)=N)=N)=N)=N
G4	C(C(C(N)=N)=N)=O
G4	C(C(C(N)=N)O)#N
G4	C(C(C(N)=N)N(C=N)C(C=N)=N)#N
G4	C(C(C(N)=N)NC(C=N)=N)#N
G4	C(C(C(N)=N)N(C=N)C=N)#N
G4	C(C(C(N)=N)N)#N
G4	C(C(C(N)=N)NC=N)#N
G4	C(C(C(N)=N)=O)=N
G4	C(NC(C(C(C=N)=N)=N)=N)=N
G4	C(NC(C(C=O)=N)=N)=N
G4	C(C(C(NC=N)=N)O)#N
G4	C(C(C(NC=N)=N)NC(C=N)=N)#N
G4	C(C(C(NC=N)=N)N(C=N)C=N)#N
G4	C(C(C(NC=N)=N)N)#N
G4	C(C(C(NC=N)=N)NC=N)#N
G4	C(NC(C(C=N)=O)=N)=N
G4	C(C(N(C(C=N)=N)C(C=N)=N)=N)=O
G4	C(C(N(C(C=N)=O)C(C=N)=N)=N)=O
G4	C(C(N(C(C=N)=N)C(C=N)=N)=N)=N
G4	C(C=N)(N(C(C=N)=N)C(C=N)=N)=O
G4	C(N(C(C=N)=O)C(C=N)=N)=N
G4	C(C(C#N)N(C(C=N)=N)C(C=N)=N)#N
G4	C(N(C(C=N)=O)C(C=N)=N)=O
G4	C(N(C=O)C(C=N)=N)=O
G4	C(C(NC(C=N)=N)=O)=O
G4	C(C(C=N)=N)(NC(C=N)=N)=O
G4	C(NC(C(C(C=N)=N)=N)=N)=O
G4	C(NC(C(C=O)=N)=N)=O
G4	C(C(C(NC=O)=N)O)#N
G4	C(C(C(NC=O)=N)NC(C=N)=N)#N
G4	C(C(C(NC=O)=N)N(C=N)C=N)#N
G4	C(C(C(NC=O)=N)N)#N
G4	C(C(C(NC=O)=N)NC=N)#N
G4	C(NC(C(C=N)=O)=N)=O
G4	C(N(C(C=N)=N)C(C(C=O)=N)=N)=N
G4	C(C(C(N(C=N)C(C=N)=N)=N)O)#N
G4	C(C(C(N(C=N)C(C=N)=N)=N)N)#N
G4	C(N(C(C=N)=N)C(C(C=N)=O)=N)=N
G4	C(N(C(C=N)=N)C(C(C=O)=N)=N)=O
G4	C(C(C(N(C=O)C(C=N)=N)=N)O)#N
G4	C(C(C(N(C=O)C(C=N)=N)=N)N)#N
G4	C(N(C(C=N)=N)C(C(C=N)=O)=N)=O
G4	C(C(NC(C(C(C=N)=N)=N)=N)=N)=N
G4	C(C(C(NC(C=N)=N)=N)=N)=O
G4	C(C(C(NC(C=N)=N)=N)O)#N
G4	C(C(C(NC(C=N)=N)=N)N)#N
G4	C(C(C(NC(C=N)=N)=N)NC=N)#N
G4	C(C(NC(C(C=N)=O)=N)=N)=N
G4	C(N(C=N)C(C(C(C=N)=N)=N)=N)=N
G4	C(N(C=N)C(C(C=O)=N)=N)=N
G4	C(C(C(N(C=N)C=N)=N)O)#N
