Generation	Smiles
2	C1(C(C(C(C(CO)O1)O)O)O)=O
2	C1(C(C(C(C(CO1)O)O)O)O)=O
3	C1(C(C(C(C(C1CO)O)O)O)O)=O
3	C1(C(C(C(C1)O)O)O)=O
3	C1(C(C(C(CC1O)O)O)O)=O
3	C1(C(C(C(C1)O)(CO)O)O)=O
3	C1(C(CC(CO)(C1O)O)O)=O
3	C1(C(C(C(CO)(C1)O)O)O)=O
3	C1(C(C(C(C)(C1O)O)O)O)=O
3	C1(C(C(CC(C1O)O)O)O)=O
3	C1(C(C(C(CC1NC)O)O)O)=O
3	C1(C(C(C(C1)O)(CNC)O)O)=O
3	C1(C(CC(CO)(C1NC)O)O)=O
3	C1(C(C(C(CNC)(C1)O)O)O)=O
3	C1(C(C(C(C)(C1NC)O)O)O)=O
3	C1(C(C(CC(C1NC)O)O)O)=O
3	C1(C(C(CO)(C(C1CO)O)O)O)=O
3	C1(C(CO)(C(C(C1CO)O)O)O)=O
3	C1(C(C(C(C(C1)O)(CO)O)O)O)=O
3	C1(CC(C(C(C1(CO)O)O)O)O)=O
3	C(C1C(C(CO)(C(C1O)O)O)O)=O
3	C1(C(C(C(C1CO)O)O)NC)=O
3	C1(C(C(C(C(C1)O)O)O)NC)=O
3	C1(C(CO)C(C(C1)=O)O)=O
3	C1(CCC(C(C1O)O)=O)=O
3	C(C1(CCC(C1O)=O)O)=O
3	C1(CC(C(CC1O)=O)O)=O
3	C(C1(CC(C(C1)=O)O)O)=O
3	C(C1C(CC(C1O)=O)O)=O
3	C1(C(CC(C1CO)O)=O)=O
3	C1(CC(C(C(C1)=O)O)O)=O
3	C1(CC(CC(C1O)=O)O)=O
3	C(C1C(C(CC1O)O)=O)=O
3	C(C1C(C(C(C1)=O)O)O)=O
3	C1(C(CC(C(C1)O)O)=O)=O
3	C(C1C(CC(C1O)O)=O)=O
3	C1C(C(C(C(C=1)=O)O)O)O
3	C1(C(C(C(C1CO)O)NC)O)=O
3	C1(C(C(C(C1CNC)O)O)O)=O
3	C1(C(C(C(C(C1)NC)O)O)O)=O
3	C1(C(C(C(C(C1)O)O)NC)O)=O
3	C(C1C(C(C(C1O)O)NC)O)=O
3	C(C1C(C(C(C1NC)O)O)O)=O
3	C(C(C(C(C(CO)=O)O)O)O)(O)=O
3	C(C(C(CC(C=O)=O)O)O)(O)=O
3	C(CC(C(C(O)=O)O)O)=O
3	C(C(C(C(C(O)=O)O)O)NC)=O
3	C(C(C(CO)=O)C(C(CO)O)O)=O
3	C(CC(C(C(C(CO)O)O)O)=O)=O
3	C(C(C(CC(C(CO)O)O)=O)O)=O
3	C(C(CO)O)(CC(C(CO)O)O)=O
3	C(C(C(C(CO)O)O)O)(CCO)=O
3	C(CO)(C(CO)C(C(CO)O)O)=O
3	C(C(C(C(CO)O)O)C(C=O)O)=O
3	C(CC(C(CO)O)O)=O
3	C(C(C(C(CO)O)O)NC)=O
3	C(CO)(C(C(CO)(CO)O)O)=O
3	C(C(C)(C(C(CO)=O)O)O)=O
3	C(C(CC(CO)(CO)O)=O)=O
3	C(CO)(CC(C(C(CO)=O)O)O)=O
3	C(CC(CO)(C(C(CO)=O)O)O)=O
3	C(C(C(CO)=O)C(CO)(CO)O)=O
3	C(CC(C(C(CO)(CO)O)O)=O)=O
3	C(C)(C(C(C(C(CO)=O)O)O)O)=O
3	C(C(C(C)(C(C(CO)=O)O)O)O)=O
