Generation	Smiles
3	C(NC(C(NC=CC(N)=O)=C)=N)=N
3	C(NC(C=CNC=CC(N)=O)=N)=N
3	C(CNC(C(NC=CC(N)=O)=C)=N)#N
3	C(CNC(C=CNC=CC(N)=O)=N)#N
3	C(NC(C(NC=CC(N)=O)=C)=N)=O
3	C(NC(C=CNC=CC(N)=O)=N)=O
3	C(NC(C(NC=CC(N)=O)=C)=O)=N
3	C(NC(C=CNC=CC(N)=O)=O)=N
3	C=C(C(O)=O)NC=CC(N)=O
3	C(NC=CC(N)=O)=CC(O)=O
3	C(C(NC(C(NC(N)=C)=N)=C)=C)#N
3	C(C(NC(C(NC=CN)=N)=C)=C)#N
3	C(C(NC=CC(NC(N)=C)=N)=C)#N
3	C(C(NC=CC(NC=CN)=N)=C)#N
3	C(C=CNC(C(NC(N)=C)=N)=C)#N
3	C(C=CNC(C(NC=CN)=N)=C)#N
3	C(C=CNC=CC(NC(N)=C)=N)#N
3	C(C=CNC=CC(NC=CN)=N)#N
3	C(NC(C(NC(N)=C)=N)=C)=N
3	C(NC(C(NC=CN)=N)=C)=N
3	C(NC(C(NC(C(O)=O)=C)=N)=C)=N
3	C(NC(C(NC=CC(O)=O)=N)=C)=N
3	C(NC=CC(NC(N)=C)=N)=N
3	C(NC=CC(NC=CN)=N)=N
3	C(NC=CC(NC(C(O)=O)=C)=N)=N
3	C(NC=CC(NC=CC(O)=O)=N)=N
3	C(NC(C(NC(C(N)=N)=C)=N)=C)#C
3	C(NC=CC(NC(C(N)=N)=C)=N)#C
3	C#CC(NC(C(NC(N)=C)=N)=C)=N
3	C#CC(NC(C(NC=CN)=N)=C)=N
3	C(NC(C(NC=CC(N)=N)=N)=C)#C
3	C(NC=CC(NC=CC(N)=N)=N)#C
3	C#CC(NC=CC(NC(N)=C)=N)=N
3	C#CC(NC=CC(NC=CN)=N)=N
3	C(CNC(C(NC(N)=C)=N)=C)#N
3	C(CNC(C(NC=CN)=N)=C)#N
3	C(CNC(C(NC(C(O)=O)=C)=N)=C)#N
3	C(CNC(C(NC=CC(O)=O)=N)=C)#N
3	C(CNC=CC(NC(N)=C)=N)#N
3	C(CNC=CC(NC=CN)=N)#N
3	C(CNC=CC(NC(C(O)=O)=C)=N)#N
3	C(CNC=CC(NC=CC(O)=O)=N)#N
3	C(NC(C(NC(C(N)=O)=C)=N)=C)#C
3	C(NC=CC(NC(C(N)=O)=C)=N)#C
3	C(NC(C(NC=CC(N)=O)=N)=C)#C
3	C(NC=CC(NC=CC(N)=O)=N)#C
3	C(C(NC(C(NC#C)=C)=N)=C)#N
3	C(C(NC(C=CNC#C)=N)=C)#N
3	C(C(NC(C(NC(C=N)=N)=C)=N)=C)#N
3	C(C(NC(C=CNC(C=N)=N)=N)=C)#N
3	C(C(NC(C(NC(CO)=N)=C)=N)=C)#N
3	C(C(NC(C=CNC(CO)=N)=N)=C)#N
3	C(C(NC(C(NC(CN)=N)=C)=N)=C)#N
3	C(C(NC(C=CNC(CN)=N)=N)=C)#N
3	C(C(NC(C(NCC(N)=N)=C)=N)=C)#N
