Generation	Smiles
G3	C(CO)(C(CC(C(O)=O)=O)O)=O
G3	C(C(CO)(CC(C(O)=O)=O)O)=O
G3	C(C(C)(C(C(C=O)=O)O)O)(O)=O
G3	C(C(CCO)=O)(O)=O
G3	C(CC(C(C)=O)=O)=O
G3	C(C(CO)=O)(C(C)O)=O
G3	C(C(C(CO)=O)=O)(O)=O
G3	C(C(C(C(C)=O)=O)(CO)O)(O)=O
G3	C(C(C(C(CO)=O)=O)(C)O)(O)=O
G3	C(C=O)=O
G3	C(C(C(C(C(C)=O)=O)O)O)(O)=O
G3	C(C(C)=O)(OC(C(C)=O)=O)=O
G3	C(C(C=O)O)=O
G3	CC(CCO)O
G3	C(O)=O
G3	C(CCO)(O)=O
G3	C(C(C)(CCO)O)(O)=O
G3	C(CO)(CO)=O
G3	CO
G3	CCO
G3	C(CC(C)O)(O)=O
G3	C(CC(O)=O)(O)=O
G3	C(C(C)(CC(O)=O)O)(O)=O
G3	C(C(CO)=O)(O)=O
G3	C(C)(O)=O
G3	C(C(CO)(C(CC(C)O)O)O)(O)=O
G3	C(C(CO)(C(CC(O)=O)O)O)(O)=O
G3	C(C(CO)(C(C(CO)=O)O)O)(O)=O
G3	C(C(CO)(C(C=O)(CO)O)O)(O)=O
G3	C(C(CO)(CO)O)(O)=O
G3	C(C(C(CC(C)O)O)O)(O)=O
G3	C(CC(C(C(O)=O)O)O)(O)=O
G3	C(C(C(C(CO)=O)O)O)(O)=O
G3	C(C(CO)(C(C(O)=O)O)O)=O
G3	C(C(C(C)O)O)(O)=O
G3	C(C(C(O)=O)O)(O)=O
G3	C(C(C)(C(C(O)=O)O)O)(O)=O
G3	C(C(C)O)(O)=O
G3	C(C(C=O)(C)O)(O)=O
G3	C(C(C=O)O)(O)=O
G3	C(C(C(C)=O)CO)(O)=O
G3	C(C(C(CC(O)=O)=O)(C)O)(O)=O
G3	C(C(C(C(C(O)=O)O)=O)C)(O)=O
G3	C(C)=CC=O
G3	C(CC=C)=O
G3	C(C)=CC(C(O)=O)=O
G3	C=CCC(C(O)=O)=O
G3	C(CC(C(O)=O)=C)=O
G3	C(C=C(C(O)=O)C)=O
G3	C(C(C=C)(CO)O)(O)=O
G3	C(C(C(C(O)=O)=C)(CO)O)(O)=O
G3	C(C(C(C(C(O)=O)=C)O)O)(O)=O
G3	C1(C(C=C(C(O)=O)O1)(C)O)=O
G3	C(C1(C=C(C(O1)=O)C)O)(O)=O
G3	C(C1(CC(C(O1)=O)=C)O)(O)=O
G3	C1(C(C)=CC(C(O1)=O)=O)=O
G3	C=C1C(OC(C(C1)=O)=O)=O
G3	CC(C(CO)O)O
G3	C(C(C(C(C)O)O)O)(O)=O
G3	C(C(C)(C(CO)O)O)(O)=O
G3	C(C(C(C(O)=O)O)O)(O)=O
G3	C(C(CO)O)(CC(C(O)=O)=O)=O
G3	C(C)(C(C(C(C(O)=O)=O)O)O)=O
G3	C(C1(C)C(C(C(O1)=O)O)O)(O)=O
G3	C1(C(C)(C(C(C(O1)=O)O)O)O)=O
G3	C(C(C)C(C(C(O)=O)=O)O)(O)=O
G3	C(C(CO)CC(C(O)=O)=O)(O)=O
G3	C1(C(C)(CC(O)O1)O)=O
G3	C(C)(C1(CC(C(O1)=O)=O)O)=O
G3	C1(C2(C)CC(C(O2)=O)(O)O1)=O
G3	C1(C(C)(O)OC(C(C1)=O)=O)=O
G3	C1(C(OC(C)C1)=O)=O
G3	C1(CC(C(O1)=O)=O)=O
G3	C1(C(C)(C(C(O)=O)(CO1)O)O)=O
G3	C1(C(CO)(C(C(O1)=O)(C)O)O)=O
G3	C1(C(C)(C(C(C(O)=O)O1)O)O)=O
G4	C1(C(C(C(C1O)O)C(C)O)O)=O
G4	C(C1C(C(C(C1O)=O)O)O)(O)=O
G4	C(C1(CC(C(C1CO)=O)=O)O)(O)=O
G4	C1(C(C(C(C(C1O)O)=O)O)O)=O
G4	C(C1(C(C(C(C1O)=O)O)O)O)=O
G4	C1(C(C(CC1O)O)O)=O
G4	C(C1(CC(C(C1O)=O)O)O)(O)=O
G4	C1(C(CC(C1)O)=O)=O
