Index	Reagents	Products	Rule
184_0	['C(C=O)=O', 'C(C(CCO)=O)=O']	['C(C(C(C(C=O)=O)CO)O)=O']	Aldol Condensation
184_1	['C(C=O)=O', 'C(C(CCO)=O)=O']	['C(C(C(C(C=O)=O)CO)O)=O']	Knoevenagel C
186_0	['C(C=O)=O', 'C(CC(C=O)O)=O']	['C(C(C(C=O)C(C=O)O)O)=O']	Aldol Condensation
186_1	['C(C=O)=O', 'C(CC(C=O)O)=O']	['C(C(C(C=O)C(C=O)O)O)=O']	Knoevenagel C
188_0	['C(C=O)=O', 'C(CC(CO)=O)=O']	['C(C(C(CO)=O)C(C=O)O)=O']	Aldol Condensation
188_1	['C(C=O)=O', 'C(CC(CO)=O)=O']	['C(C(C(CO)=O)C(C=O)O)=O']	Knoevenagel C
190_0	['C(C=O)=O', 'C(CC(CO)=O)=O']	['C(CC(C(C(C=O)O)O)=O)=O']	Aldol Condensation
190_1	['C(C=O)=O', 'C(CC(CO)=O)=O']	['C(CC(C(C(C=O)O)O)=O)=O']	Knoevenagel H
192_0	['C(C=O)=O', 'C(C(C(C)=O)O)=O']	['C(C(C(CC(C=O)O)=O)O)=O']	Aldol Condensation
193_0	['C(C=O)=O', 'C(C)=O']	['C(CC(C=O)O)=O']	Aldol Condensation
195_0	['C(C=O)=O', 'C(C(CNCC=O)O)=O']	['C(C(C(C=O)O)NCC(C=O)O)=O']	Aldol Condensation
195_1	['C(C=O)=O', 'C(C(CNCC=O)O)=O']	['C(C(C(C=O)O)NCC(C=O)O)=O']	Knoevenagel H
197_0	['C(CO)(CO)=O', 'C(CO)(CO)=O']	['C(CO)(C(C(CO)(CO)O)O)=O']	Aldol Condensation
197_1	['C(CO)(CO)=O', 'C(CO)(CO)=O']	['C(CO)(C(C(CO)(CO)O)O)=O']	Knoevenagel H
199_0	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CO)(C(C(CO)(CN)O)O)=O']	Aldol Condensation
199_1	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CO)(C(C(CO)(CN)O)O)=O']	Knoevenagel H
201_0	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CN)(C(C(CO)(CO)O)O)=O']	Aldol Condensation
201_1	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CN)(C(C(CO)(CO)O)O)=O']	Knoevenagel H
203_0	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CO)(C(C(CO)(CO)O)N)=O']	Aldol Condensation
203_1	['C(CO)(CO)=O', 'C(CO)(CN)=O']	['C(CO)(C(C(CO)(CO)O)N)=O']	Knoevenagel H
205_0	['C(CO)(CO)=O', 'C(CNCC=O)=O']	['C(CNCC(C(C(CO)=O)O)O)=O']	Aldol Condensation
205_1	['C(CO)(CO)=O', 'C(CNCC=O)=O']	['C(CNCC(C(C(CO)=O)O)O)=O']	Knoevenagel H
207_0	['C(CO)(CO)=O', 'C(CNCC=O)=O']	['C(C(C(CO)(CO)O)NCC=O)=O']	Aldol Condensation
