Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
184_0,293.7144658949085,100000.00010315194,False,False,False
186_0,-68.96741076756598,3.0209719934226653,True,True,True
188_0,-81.69411974308605,4.250785827015578,True,True,True
188_1,-81.69411974308605,4.250785827015578,True,True,True
190_0,-69.23256953001001,1.9717783723696565,True,True,True
192_0,-74.00940526468696,3.452767845006849,True,True,True
194_0,-66.1049086774685,5.494228063594064,True,True,True
196_0,-75.63260033933818,3.4527678450068495,True,True,True
198_0,-61.535691485310934,3.5447919204313543,True,True,True
200_0,-85.59138946766748,3.512521424427648,True,True,True
202_0,354.8010661197636,100000.00008450064,False,False,False
202_1,354.8010661197636,100000.00008450064,False,False,False
204_0,726.9909111250827,200000.0001996929,False,False,False
204_1,726.9909111250827,200000.0001996929,False,False,False
206_0,354.8010682969297,100000.00008450064,False,False,False
206_1,354.8010682969297,100000.00008450064,False,False,False
208_0,359.44361337564754,100000.0000885182,False,False,False
208_1,359.44361337564754,100000.0000885182,False,False,False
210_0,335.5509439564726,100000.0000909272,False,False,False
210_1,335.5509439564726,100000.0000909272,False,False,False
212_0,9.405234918520364,1.8417947080684132,True,False,False
214_0,744.1004366845011,200000.00020275943,False,False,False
216_0,9.405314668830044,1.8417947080684132,True,False,False
218_0,376.55313893506616,100000.00009089508,False,False,False
219_0,-9.844753411601374,2.255297363007269,True,True,True
221_0,9.236161418390338,2.214489962073886,True,False,False
223_0,28.824207346397145,3.6193095709542975,True,False,False
225_0,6.831704458650478,2.349664155071087,True,False,False
226_0,-335.55103211873126,100000.0000909272,False,False,False
226_1,-335.55103211873126,100000.0000909272,False,False,False
227_0,-354.63194694872294,100000.0000920112,False,False,False
227_1,-354.63194694872294,100000.0000920112,False,False,False
228_0,-699.6775505741402,200000.00016385573,False,False,False
228_1,-699.6775505741402,200000.00016385573,False,False,False
229_0,-716.353679418273,200000.000160604,False,False,False
229_1,-716.353679418273,200000.000160604,False,False,False
230_0,-699.6772215480213,200000.00016385573,False,False,False
230_1,-699.6772215480213,200000.00016385573,False,False,False
232_0,-709.4770879442369,200000.00016076502,False,False,False
234_0,-7.786074711433969,1.8417947080684132,True,True,True
236_0,21.37129277199554,2.3426065247518153,True,False,False
237_0,-34.927046207331045,1.4252420900442682,True,True,True
239_0,-36.92848836883985,1.4003928194704374,True,True,True
240_0,-34.927046207331045,1.4252420900442682,True,True,True
241_0,-34.92704620733099,1.4252420900442682,True,True,True
243_0,-41.01440809138592,1.24685410860712,True,True,True
245_0,689.7018891478442,200000.00016421205,False,False,False
246_0,-41.01413337568138,1.24685410860712,True,True,True
247_0,-43.233938083918844,1.75662726549929,True,True,True
249_0,-0.43158880879663997,1.4927180897404109,True,True,False
251_0,2.093448938138664,1.9390313502553063,True,False,False
253_0,362.0735579928659,100000.0000940107,False,False,False
255_0,-0.43160786056429856,1.4927180897404109,True,True,False
257_0,365.42965940688606,100000.00009664257,False,False,False
259_0,362.90462165995075,100000.00010175504,False,False,False
261_0,2.093448938138721,1.9390313502553065,True,False,False
263_0,2.9243898416368097,1.6285490534695597,True,False,False
265_0,729.554767358321,200000.00016934046,False,False,False
267_0,-48.01574931671013,3.1165631986601583,True,True,True
269_0,-48.01574931671013,3.1165631986601583,True,True,True
271_0,-27.9387628189192,3.6821105269978616,True,True,True
273_0,-48.0157493167101,3.1165631986601574,True,True,True
275_0,-27.938762818919173,3.682110526997861,True,True,True
277_0,39.012815326095165,1.2616238877207053,True,False,False
278_0,48.69682011803067,4.318589609706014,True,False,False
280_0,41.01411093169901,1.24685410860712,True,False,False
282_0,401.5180898789414,100000.0000870464,False,False,False
284_0,33.91381583709327,1.9230443379155044,True,False,False
285_0,41.01426247520095,1.24685410860712,True,False,False
287_0,45.40449941646824,1.4156030322241335,True,False,False
289_0,41.01426247520095,1.24685410860712,True,False,False
290_0,770.1696513424286,200000.00016665284,False,False,False
292_0,51.688973116537056,2.2717603424587565,True,False,False
294_0,51.688973116537,2.271760342458757,True,False,False
295_0,-727.029600511866,200000.00017199066,False,False,False
297_0,3.6864220116596584,1.903033803647853,True,False,False
298_0,-0.3992493915737043,1.9071124388522862,True,True,False
300_0,734.7070100732192,200000.00016708934,False,False,False
302_0,56.751180033142475,2.248195022130441,True,False,False
304_0,-320.866693640152,100000.00012137253,False,False,False
305_0,391.3630845162926,100000.00011407632,False,False,False
307_0,-293.77719711174643,173205.0810626241,False,False,False
309_0,-343.3231479385356,100000.00017344167,False,False,False
310_0,-419.7010967267855,100000.00008981235,False,False,False
311_0,-8.69297425077798,3.0833359080166867,True,True,True
312_0,-23.856559900126882,5.172616080601233,True,True,True
313_0,-371.1981210524405,100000.00012167734,False,False,False
314_0,-371.19874332592855,100000.00012167734,False,False,False
315_0,357.956645541299,100000.00014294319,False,False,False
317_0,13.030731408602264,3.0535227881541944,True,False,False
319_0,76.68162881459165,4.341877300488431,True,False,False
321_0,-350.58451708278886,100000.00014814796,False,False,False
323_0,-643.8090366287089,200000.000205619,False,False,False
324_0,395.0152146014014,100000.00012615051,False,False,False
326_0,382.0130655279699,100000.0001048209,False,False,False
327_0,-329.1379189779862,173205.08105075598,False,False,False
328_0,309.07819386154506,100000.00013961243,False,False,False
329_0,46.9241687885078,5.403103247997799,True,False,False
330_0,85.93702073985628,3.322205165729447,True,False,False
