Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
1216_0,-83.69222883866271,5.52060340743673,True,True,True
1218_0,-66.76983847201822,3.850566956329006,True,True,True
1220_0,-74.00812851651673,3.4527678450068495,True,True,True
1222_0,-74.00821568763405,3.4527678450068495,True,True,True
1224_0,-74.00843092259515,3.4527678450068495,True,True,True
1226_0,-74.00837872020293,3.4527678450068495,True,True,True
1228_0,-16.740859219919713,8.592187053476184,True,True,False
1230_0,-85.59138946766748,3.512521424427648,True,True,True
1232_0,288.4969943689969,100000.00013416224,False,False,False
1234_0,288.4969943689969,100000.00013416224,False,False,False
1236_0,288.49699436899687,100000.00013416224,False,False,False
1238_0,288.49699436899687,100000.00013416224,False,False,False
1240_0,-72.3576083346502,3.452767845006849,True,True,True
1242_0,288.4969946469687,100000.00013416224,False,False,False
1244_0,-67.6057070544781,4.076419036725826,True,True,True
1244_1,-67.6057070544781,4.076419036725826,True,True,True
1246_0,-45.14925275609454,3.362208433610648,True,True,True
1246_1,-45.14925275609454,3.362208433610648,True,True,True
1248_0,-51.72590964909165,3.5984235210995674,True,True,True
1248_1,-51.72590964909165,3.5984235210995674,True,True,True
1250_0,-3.1891796731374598,4.285691765421502,True,True,False
1250_1,-3.1891796731374598,4.285691765421502,True,True,False
1252_0,-3.020060502097067,4.106491609521812,True,True,False
1252_1,-3.020060502097067,4.106491609521812,True,True,False
1254_0,-3.0200605020969533,4.106491609521812,True,True,False
1254_1,-3.0200605020969533,4.106491609521812,True,True,False
1256_0,3.2650981577379525,4.405790434035207,True,False,False
1256_1,3.2650981577379525,4.405790434035207,True,False,False
1258_0,-1.3774469209797644,4.372767413564551,True,True,False
1258_1,-1.3774469209797644,4.372767413564551,True,True,False
1260_0,-3.1891796731375734,4.285691765421502,True,True,False
1260_1,-3.1891796731375734,4.285691765421502,True,True,False
1262_0,-3.0170569959852855,4.106491609521812,True,True,False
1262_1,-3.0170569959852855,4.106491609521812,True,True,False
1264_0,-3.0200605020971807,4.106491609521812,True,True,False
1264_1,-3.0200605020971807,4.106491609521812,True,True,False
1266_0,1.7990938510120031,4.667370722231531,True,False,False
1266_1,1.7990938510120031,4.667370722231531,True,False,False
1268_0,1.625488082732545,4.14609582097941,True,False,False
1268_1,1.625488082732545,4.14609582097941,True,False,False
1270_0,-3.0170569959852855,4.106491609521812,True,True,False
1270_1,-3.0170569959852855,4.106491609521812,True,True,False
1272_0,354.80106687356374,100000.00008450064,False,False,False
1272_1,354.80106687356374,100000.00008450064,False,False,False
1274_0,-3.0200605020972944,4.106491609521812,True,True,False
1274_1,-3.0200605020972944,4.106491609521812,True,True,False
1276_0,3.265098157737725,4.405790434035207,True,False,False
1276_1,3.265098157737725,4.405790434035207,True,False,False
1278_0,-1.3774469209799918,4.372767413564551,True,True,False
1278_1,-1.3774469209799918,4.372767413564551,True,True,False
1280_0,1.62248457662065,4.14609582097941,True,False,False
1280_1,1.62248457662065,4.14609582097941,True,False,False
1282_0,-3.0200605020971807,4.106491609521812,True,True,False
1282_1,-3.0200605020971807,4.106491609521812,True,True,False
1284_0,-3.0200605020971807,4.106491609521812,True,True,False
1284_1,-3.0200605020971807,4.106491609521812,True,True,False
1286_0,-3.0200605020971807,4.106491609521812,True,True,False
1286_1,-3.0200605020971807,4.106491609521812,True,True,False
1288_0,-3.0200605020971807,4.106491609521812,True,True,False
1288_1,-3.0200605020971807,4.106491609521812,True,True,False
1290_0,1.62248457662065,4.14609582097941,True,False,False
1290_1,1.62248457662065,4.14609582097941,True,False,False
1292_0,49.56324261281702,7.786482642668205,True,False,False
1292_1,49.56324261281702,7.786482642668205,True,False,False
1294_0,54.24733891844892,8.906920831300283,True,False,False
1294_1,54.24733891844892,8.906920831300283,True,False,False
1296_0,58.889883997166635,8.862680223790866,True,False,False
1296_1,58.889883997166635,8.862680223790866,True,False,False
1298_0,-3.189179673137801,4.285691765421502,True,True,False
1298_1,-3.189179673137801,4.285691765421502,True,True,False
1300_0,-22.29160660898083,4.0533414104314325,True,True,True
1300_1,-22.29160660898083,4.0533414104314325,True,True,True
1302_0,-17.60751030334893,5.65051290457591,True,True,True
1302_1,-17.60751030334893,5.65051290457591,True,True,True
1304_0,-7.873275978769357,1.6592820463578148,True,True,True
1304_1,-7.873275978769357,1.6592820463578148,True,True,True
1306_0,-7.7041568077291345,1.0089001392175119,True,True,True
1306_1,-7.7041568077291345,1.0089001392175119,True,True,True
1308_0,-7.704156807728964,1.0089001392175119,True,True,True
1308_1,-7.704156807728964,1.0089001392175119,True,True,True
1310_0,-1.418998147894058,2.110730699325506,True,True,False
1310_1,-1.418998147894058,2.110730699325506,True,True,False
1312_0,-6.061543226611775,1.8092514714994914,True,True,True
1312_1,-6.061543226611775,1.8092514714994914,True,True,True
1314_0,-7.873275978769584,1.6592820463578148,True,True,True
1314_1,-7.873275978769584,1.6592820463578148,True,True,True
1316_0,-3.020060502097124,4.106491609521812,True,True,False
1316_1,-3.020060502097124,4.106491609521812,True,True,False
1318_0,-3.0200605020971807,4.106491609521812,True,True,False
1318_1,-3.0200605020971807,4.106491609521812,True,True,False
1320_0,3.265098157737839,4.405790434035207,True,False,False
1320_1,3.265098157737839,4.405790434035207,True,False,False
1322_0,-1.377446920979878,4.372767413564552,True,True,False
