Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
4112_0,3.6834185055475928,1.9030338036478534,True,False,False
4112_1,3.6834185055475928,1.9030338036478534,True,False,False
4114_0,48.36287093967121,2.3682945912394207,True,False,False
4116_0,51.688911755687286,2.271760342458757,True,False,False
4117_0,26.60627959139947,1.9732755576883387,True,False,False
4118_0,47.04709570379191,1.9640235972640687,True,False,False
4119_0,39.0127858081172,1.2616238877207056,True,False,False
4120_0,41.014262475200894,1.24685410860712,True,False,False
4121_0,102.67189883701417,7.970492757049206,True,False,False
4122_0,45.40451528967162,1.4156030322241335,True,False,False
4123_0,41.014268335115275,1.24685410860712,True,False,False
4124_0,41.014262475200894,1.24685410860712,True,False,False
4125_0,41.014251563540824,1.24685410860712,True,False,False
4126_0,45.40460853123403,1.4156030322241335,True,False,False
4127_0,39.96367328814023,2.091272254832594,True,False,False
4128_0,39.01282031369203,1.2616238877207056,True,False,False
4129_0,43.233938083918815,1.75662726549929,True,False,False
4130_0,39.012820313692146,1.2616238877207053,True,False,False
4131_0,41.01417970257273,1.24685410860712,True,False,False
4132_0,41.014262475200894,1.24685410860712,True,False,False
4133_0,41.01417970257273,1.24685410860712,True,False,False
4134_0,41.01417970257273,1.24685410860712,True,False,False
4135_0,41.01417970257273,1.24685410860712,True,False,False
4136_0,45.40456048444378,1.4156030322241335,True,False,False
4137_0,39.012737541063984,1.2616238877207053,True,False,False
4138_0,39.01282031369203,1.2616238877207056,True,False,False
4139_0,41.014262475200894,1.24685410860712,True,False,False
4140_0,41.014262475200894,1.24685410860712,True,False,False
4141_0,41.014262475200894,1.24685410860712,True,False,False
4142_0,41.014262475200894,1.24685410860712,True,False,False
4143_0,41.014262475200894,1.24685410860712,True,False,False
4144_0,45.40449941646807,1.4156030322241335,True,False,False
4145_0,39.01282031369203,1.2616238877207056,True,False,False
4146_0,41.0142317219686,1.24685410860712,True,False,False
4147_0,41.0142317219686,1.24685410860712,True,False,False
4148_0,41.0142317219686,1.24685410860712,True,False,False
4149_0,45.40446866323589,1.4156030322241338,True,False,False
4150_0,39.01278956045985,1.2616238877207053,True,False,False
4151_0,41.01426247520101,1.24685410860712,True,False,False
4152_0,41.01426247520101,1.24685410860712,True,False,False
4153_0,41.01426247520101,1.24685410860712,True,False,False
4154_0,41.01426247520101,1.24685410860712,True,False,False
4155_0,41.01426247520101,1.24685410860712,True,False,False
4156_0,41.01426247520101,1.24685410860712,True,False,False
4157_0,45.404499416468184,1.4156030322241335,True,False,False
4158_0,39.01282031369203,1.2616238877207056,True,False,False
4159_0,51.688973116537,2.2717603424587565,True,False,False
4160_0,39.01282031369203,1.2616238877207056,True,False,False
4161_0,41.014262475200894,1.24685410860712,True,False,False
4162_0,41.014262475200894,1.24685410860712,True,False,False
4163_0,41.014262475200894,1.24685410860712,True,False,False
4164_0,41.014262475200894,1.24685410860712,True,False,False
4165_0,45.404499416468184,1.4156030322241338,True,False,False
4166_0,41.01426247520078,1.2468541086071199,True,False,False
4167_0,41.01426247520078,1.2468541086071199,True,False,False
4168_0,41.01426247520078,1.2468541086071199,True,False,False
4169_0,41.0142640891566,1.2468541086071199,True,False,False
4170_0,41.0142640891566,1.2468541086071199,True,False,False
4171_0,41.01426968446856,1.2468541086071199,True,False,False
4172_0,45.404506625735735,1.4156030322241335,True,False,False
4173_0,41.01426247520101,1.24685410860712,True,False,False
4174_0,39.01282031369203,1.2616238877207056,True,False,False
4175_0,39.01282031369203,1.2616238877207053,True,False,False
4176_0,41.01426247520078,1.2468541086071199,True,False,False
4177_0,41.01426247520078,1.2468541086071199,True,False,False
4178_0,39.01282031369203,1.2616238877207053,True,False,False
4179_0,41.01426247520078,1.2468541086071199,True,False,False
4180_0,41.01426247520078,1.2468541086071199,True,False,False
4181_0,41.01426247520078,1.2468541086071199,True,False,False
4182_0,39.01282031369203,1.2616238877207056,True,False,False
4183_0,41.014262475200894,1.2468541086071199,True,False,False
4184_0,45.40449941646807,1.4156030322241335,True,False,False
4185_0,39.01282031369203,1.2616238877207056,True,False,False
4186_0,41.01426247520101,1.24685410860712,True,False,False
4187_0,39.01282031369203,1.2616238877207056,True,False,False
4188_0,41.014262475200894,1.2468541086071199,True,False,False
4189_0,41.014262475200894,1.2468541086071199,True,False,False
4190_0,45.40449941646807,1.4156030322241335,True,False,False
4191_0,41.01426247520101,1.24685410860712,True,False,False
4192_0,39.01282031369203,1.2616238877207056,True,False,False
4193_0,41.014262475200894,1.2468541086071199,True,False,False
4194_0,45.40449941646807,1.4156030322241335,True,False,False
4195_0,41.01426247520101,1.24685410860712,True,False,False
4196_0,41.01426247520101,1.24685410860712,True,False,False
4197_0,39.01282031369203,1.2616238877207056,True,False,False
4198_0,41.014262475200894,1.24685410860712,True,False,False
4199_0,45.404499416468184,1.4156030322241338,True,False,False
4200_0,39.01282031369203,1.2616238877207056,True,False,False
