Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
47_0,371.9105916791822,100000.00009190453,False,False,False
48_0,-9.844753411601374,2.255297363007269,True,True,True
49_0,6.381731298135037,2.319327233518381,True,False,False
51_0,-39.0128030198986,1.2616238877207056,True,True,True
53_0,-47.04709570379197,1.9640235972640687,True,True,True
55_0,-41.014262475200894,1.24685410860712,True,True,True
57_0,-39.01282031369203,1.2616238877207056,True,True,True
59_0,-41.014262475200894,1.24685410860712,True,True,True
61_0,-102.67189883701411,7.970492757049206,True,True,True
63_0,-43.233938083918844,1.75662726549929,True,True,True
65_0,-1.6043342941511582,1.8237228261692395,True,True,False
67_0,-6.124141954711035,1.3032675159556373,True,True,True
69_0,-10.168772879174526,2.2777092047535747,True,True,True
69_1,-10.168772879174526,2.2777092047535747,True,True,True
71_0,-10.345225219362987,0.8681795068803962,True,True,True
71_1,-10.345225219362987,0.8681795068803962,True,True,True
73_0,-3.6183827013679206,0.9361853552194981,True,True,True
73_1,-3.6183827013679206,0.9361853552194981,True,True,True
75_0,-4.3124136477542265,1.6682331887911208,True,True,True
77_0,-3.6183827013679775,0.936185355219498,True,True,True
77_1,-3.6183827013679775,0.936185355219498,True,True,True
79_0,-3.6183827013678638,0.936185355219498,True,True,True
79_1,-3.6183827013678638,0.936185355219498,True,True,True
81_0,-3.6183827013679775,0.936185355219498,True,True,True
81_1,-3.6183827013679775,0.936185355219498,True,True,True
83_0,-10.345259724937819,0.8681795068803961,True,True,True
83_1,-10.345259724937819,0.8681795068803961,True,True,True
85_0,51.31237663687534,7.846747975506774,True,False,False
86_0,-6.124141954711149,1.3032675159556373,True,True,True
88_0,-5.349496097437054,4.430236859194969,True,True,False
88_1,-5.349496097437054,4.430236859194969,True,True,False
90_0,-10.168650450546352,2.2777092047535747,True,True,True
90_1,-10.168650450546352,2.2777092047535747,True,True,True
92_0,1.2007716517414337,2.443257337277333,True,False,False
92_1,1.2007716517414337,2.443257337277333,True,False,False
94_0,-3.883491790711332,2.7625278528380197,True,True,False
94_1,-3.883491790711332,2.7625278528380197,True,True,False
96_0,-8.526180710032747,2.738337399179416,True,True,True
96_1,-8.526180710032747,2.738337399179416,True,True,True
98_0,0.5067451505559575,2.768712445009744,True,False,False
100_0,-5.526105371828635,2.3147290056389114,True,True,True
100_1,-5.526105371828635,2.3147290056389114,True,True,True
102_0,-10.168650450546238,2.277709204753575,True,True,True
102_1,-10.168650450546238,2.277709204753575,True,True,True
104_0,1.20077165174132,2.443257337277333,True,False,False
104_1,1.20077165174132,2.443257337277333,True,False,False
106_0,-10.168650450546352,2.277709204753575,True,True,True
106_1,-10.168650450546352,2.277709204753575,True,True,True
108_0,-10.168650450546352,2.277709204753575,True,True,True
108_1,-10.168650450546352,2.277709204753575,True,True,True
110_0,1.20077165174132,2.4432573372773336,True,False,False
110_1,1.20077165174132,2.4432573372773336,True,False,False
112_0,-10.168650450546238,2.277709204753575,True,True,True
112_1,-10.168650450546238,2.277709204753575,True,True,True
114_0,-5.526105371828635,2.3147290056389114,True,True,True
114_1,-5.526105371828635,2.3147290056389114,True,True,True
116_0,1.20077165174132,2.443257337277333,True,False,False
116_1,1.20077165174132,2.443257337277333,True,False,False
118_0,-5.526105371828635,2.3147290056389114,True,True,True
118_1,-5.526105371828635,2.3147290056389114,True,True,True
120_0,47.09874896999963,8.132424962205524,True,False,False
120_1,47.09874896999963,8.132424962205524,True,False,False
122_0,51.74129404871735,8.07424124921241,True,False,False
122_1,51.74129404871735,8.07424124921241,True,False,False
124_0,56.131530989984526,8.082730588047635,True,False,False
126_0,-10.337821847703935,2.609941478027454,True,True,True
126_1,-10.337821847703935,2.609941478027454,True,True,True
128_0,-1.3049876016018516,2.693447566201233,True,True,False
130_0,-10.345225219362987,0.8681795068803964,True,True,True
130_1,-10.345225219362987,0.8681795068803964,True,True,True
132_0,1.0241968829246844,1.1713947853498272,True,False,False
132_1,1.0241968829246844,1.1713947853498272,True,False,False
134_0,-4.060066559527968,1.7604600103891528,True,True,True
134_1,-4.060066559527968,1.7604600103891528,True,True,True
136_0,-8.702611638245685,1.7384398154743295,True,True,True
136_1,-8.702611638245685,1.7384398154743295,True,True,True
138_0,0.3301703817392081,1.6667752591485727,True,False,False
140_0,-10.514344390403494,1.492997793219341,True,True,True
140_1,-10.514344390403494,1.492997793219341,True,True,True
142_0,-1.4815623704184873,1.5035283717912562,True,True,False
144_0,-3.6183827013679775,0.936185355219498,True,True,True
144_1,-3.6183827013679775,0.936185355219498,True,True,True
146_0,-4.312409202553454,1.6682331887911208,True,True,True
148_0,-6.124141954711149,1.3032675159556373,True,True,True
150_0,-6.124141954711035,1.3032675159556373,True,True,True
152_0,-3.6183827013679206,0.9361853552194981,True,True,True
152_1,-3.6183827013679206,0.9361853552194981,True,True,True
154_0,2.666775958467042,1.899480783918514,True,False,False
154_1,2.666775958467042,1.899480783918514,True,False,False
156_0,-1.9757691202506749,1.7746118580760595,True,True,False
156_1,-1.9757691202506749,1.7746118580760595,True,True,False
158_0,-4.31240920255334,1.6682331887911206,True,True,True
160_0,1.0241623773498532,1.1713947853498272,True,False,False
160_1,1.0241623773498532,1.1713947853498272,True,False,False
162_0,-3.6183827013678638,0.936185355219498,True,True,True
162_1,-3.6183827013678638,0.936185355219498,True,True,True
164_0,-3.6183827013678638,0.936185355219498,True,True,True
164_1,-3.6183827013678638,0.936185355219498,True,True,True
166_0,-3.6183827013678638,0.936185355219498,True,True,True
166_1,-3.6183827013678638,0.936185355219498,True,True,True
168_0,-3.6183827013678638,0.936185355219498,True,True,True
168_1,-3.6183827013678638,0.936185355219498,True,True,True
170_0,-3.6183827013678638,0.936185355219498,True,True,True
170_1,-3.6183827013678638,0.936185355219498,True,True,True
172_0,-3.6183827013678638,0.936185355219498,True,True,True
172_1,-3.6183827013678638,0.936185355219498,True,True,True
174_0,1.0241623773498532,1.1713947853498272,True,False,False
174_1,1.0241623773498532,1.1713947853498272,True,False,False
176_0,-3.6183827013678638,0.936185355219498,True,True,True
176_1,-3.6183827013678638,0.936185355219498,True,True,True
178_0,-10.345259724937819,0.8681795068803961,True,True,True
178_1,-10.345259724937819,0.8681795068803961,True,True,True
180_0,53.64901671917801,7.8632117355216655,True,False,False
180_1,53.64901671917801,7.8632117355216655,True,False,False
182_0,58.291561797895724,7.8238639020573295,True,False,False
182_1,58.291561797895724,7.8238639020573295,True,False,False
184_0,51.31237663687534,7.846747975506774,True,False,False
186_0,-3.787501872408484,1.5473028103181918,True,True,True
186_1,-3.787501872408484,1.5473028103181918,True,True,True
188_0,-6.124141954711149,1.3032675159556373,True,True,True
190_0,1.9727494572816795,3.093708857125764,True,False,False
192_0,-2.669802830703702,3.1004579375470596,True,True,False
194_0,0.3301358761644906,1.6667752591485725,True,False,False
196_0,-4.31240920255334,1.6682331887911208,True,True,True
198_0,2.666775958467042,1.899480783918514,True,False,False
198_1,2.666775958467042,1.899480783918514,True,False,False
200_0,-1.9757691202506749,1.7746118580760595,True,True,False
200_1,-1.9757691202506749,1.7746118580760595,True,True,False
202_0,-4.31240920255334,1.6682331887911208,True,True,True
204_0,-4.31240920255334,1.6682331887911208,True,True,True
206_0,2.666775958467042,1.899480783918514,True,False,False
206_1,2.666775958467042,1.899480783918514,True,False,False
208_0,-1.9757691202506749,1.7746118580760595,True,True,False
208_1,-1.9757691202506749,1.7746118580760595,True,True,False
210_0,-4.31240920255334,1.6682331887911208,True,True,True
212_0,0.3301358761644906,1.6667752591485725,True,False,False
214_0,2.666775958467042,1.899480783918514,True,False,False
214_1,2.666775958467042,1.899480783918514,True,False,False
216_0,-1.9757691202506749,1.7746118580760595,True,True,False
216_1,-1.9757691202506749,1.7746118580760595,True,True,False
218_0,-4.060101065102799,1.7604600103891528,True,True,True
218_1,-4.060101065102799,1.7604600103891528,True,True,True
220_0,-8.702646143820516,1.7384398154743292,True,True,True
220_1,-8.702646143820516,1.7384398154743292,True,True,True
222_0,52.95499021799276,8.004964579454704,True,False,False
224_0,57.597535296710475,7.9348358865891315,True,False,False
226_0,57.597535296710475,7.9348358865891315,True,False,False
228_0,52.95499021799276,8.004964579454704,True,False,False
230_0,-4.481528373593903,1.9741218776880205,True,True,True
232_0,0.1610167051238136,2.102927914227396,True,False,False
234_0,-4.481528373593903,1.9741218776880205,True,True,True
236_0,-3.787501872408484,1.5473028103181918,True,True,True
236_1,-3.787501872408484,1.5473028103181918,True,True,True
238_0,-1.4815968759933185,1.503528371791256,True,True,False
240_0,-6.124141954711149,1.3032675159556373,True,True,True
242_0,-3.787501872408484,1.5473028103181918,True,True,True
242_1,-3.787501872408484,1.5473028103181918,True,True,True
244_0,-6.124141954711149,1.3032675159556373,True,True,True
246_0,-6.124141954711149,1.3032675159556373,True,True,True
248_0,-3.787501872408484,1.5473028103181918,True,True,True
248_1,-3.787501872408484,1.5473028103181918,True,True,True
250_0,-10.514378895978439,1.492997793219341,True,True,True
250_1,-10.514378895978439,1.492997793219341,True,True,True
252_0,-6.124141954711149,1.3032675159556373,True,True,True
254_0,-1.4815968759933185,1.503528371791256,True,True,False
256_0,51.143257465834836,7.939332079210447,True,False,False
258_0,51.143257465834836,7.939332079210447,True,False,False
260_0,55.78580254455255,7.904562609472392,True,False,False
262_0,-6.2932611257516555,2.597682457666115,True,True,True
264_0,-10.168715929380937,2.277709204753575,True,True,True
264_1,-10.168715929380937,2.277709204753575,True,True,True
266_0,-3.6183654075744016,0.936185355219498,True,True,True
266_1,-3.6183654075744016,0.936185355219498,True,True,True
268_0,-4.312391908759878,1.6682331887911208,True,True,True
270_0,-3.6183654075744016,0.9361853552194979,True,True,True
270_1,-3.6183654075744016,0.9361853552194979,True,True,True
272_0,-3.6183654075744016,0.9361853552194981,True,True,True
272_1,-3.6183654075744016,0.9361853552194981,True,True,True
274_0,-3.6183654075744016,0.9361853552194979,True,True,True
274_1,-3.6183654075744016,0.9361853552194979,True,True,True
276_0,-10.345242431144356,0.8681795068803964,True,True,True
276_1,-10.345242431144356,0.8681795068803964,True,True,True
278_0,51.312393930668804,7.846747975506774,True,False,False
280_0,-6.12413079700093,1.3032675159556373,True,True,True
282_0,-3.6183827013678638,0.9361853552194982,True,True,True
282_1,-3.6183827013678638,0.9361853552194982,True,True,True
284_0,-4.31240920255334,1.6682331887911208,True,True,True
286_0,-6.124141954711149,1.3032675159556373,True,True,True
287_0,-29.418807119412122,2.657505336672233,True,True,True
287_1,-29.418807119412122,2.657505336672233,True,True,True
289_0,-29.595347382653927,1.428166683547855,True,True,True
289_1,-29.595347382653927,1.428166683547855,True,True,True
291_0,-22.868504864658803,1.5145585451094703,True,True,True
291_1,-22.868504864658803,1.5145585451094703,True,True,True
292_0,-23.562531365844222,2.1775227247189135,True,True,True
294_0,-22.868504864658803,1.5145585451094703,True,True,True
294_1,-22.868504864658803,1.5145585451094703,True,True,True
296_0,-22.868504864658917,1.5145585451094703,True,True,True
296_1,-22.868504864658917,1.5145585451094703,True,True,True
298_0,-22.868504864658803,1.5145585451094703,True,True,True
298_1,-22.868504864658803,1.5145585451094703,True,True,True
300_0,-29.595381888228758,1.428166683547855,True,True,True
300_1,-29.595381888228758,1.428166683547855,True,True,True
302_0,32.06225447358452,7.999489804425166,True,False,False
304_0,-25.37426411800203,2.030710607982847,True,True,True
306_0,-13.368889060559809,1.6477739594969991,True,True,True
306_1,-13.368889060559809,1.6477739594969991,True,True,True
308_0,-8.549734707450511,2.7486287189503757,True,True,True
308_1,-8.549734707450511,2.7486287189503757,True,True,True
310_0,-13.192348633423649,2.648478869309342,True,True,True
310_1,-13.192348633423649,2.648478869309342,True,True,True
312_0,-8.726309476267033,1.788758386492965,True,True,True
312_1,-8.726309476267033,1.788758386492965,True,True,True
314_0,-13.36885455498475,1.6477739594969993,True,True,True
314_1,-13.36885455498475,1.6477739594969993,True,True,True
316_0,-13.368889060559695,1.6477739594969993,True,True,True
316_1,-13.368889060559695,1.6477739594969993,True,True,True
318_0,-13.368889060559695,1.6477739594969993,True,True,True
318_1,-13.368889060559695,1.6477739594969993,True,True,True
320_0,-6.642012036989854,1.6975067197675469,True,True,True
320_1,-6.642012036989854,1.6975067197675469,True,True,True
322_0,-7.083730400724676,2.3251065572106957,True,True,True
322_1,-7.083730400724676,2.3251065572106957,True,True,True
324_0,-11.726384594208241,2.2267837077043326,True,True,True
324_1,-11.726384594208241,2.2267837077043326,True,True,True
326_0,-7.336038538175103,2.21212140184008,True,True,True
328_0,-8.726343981841865,1.7887583864929648,True,True,True
328_1,-8.726343981841865,1.7887583864929648,True,True,True
330_0,-13.368889060559695,1.6477739594969993,True,True,True
330_1,-13.368889060559695,1.6477739594969993,True,True,True
332_0,-6.64201203698974,1.6975067197675469,True,True,True
332_1,-6.64201203698974,1.6975067197675469,True,True,True
334_0,-13.368889060559695,1.6477739594969993,True,True,True
334_1,-13.368889060559695,1.6477739594969993,True,True,True
336_0,-13.368889060559695,1.6477739594969993,True,True,True
336_1,-13.368889060559695,1.6477739594969993,True,True,True
338_0,-6.642012036989854,1.6975067197675469,True,True,True
338_1,-6.642012036989854,1.6975067197675469,True,True,True
340_0,-13.368889060559695,1.6477739594969993,True,True,True
340_1,-13.368889060559695,1.6477739594969993,True,True,True
342_0,-8.726343981841865,1.7887583864929648,True,True,True
342_1,-8.726343981841865,1.7887583864929648,True,True,True
344_0,-6.64201203698974,1.6975067197675469,True,True,True
344_1,-6.64201203698974,1.6975067197675469,True,True,True
346_0,-13.368889060559695,1.6477739594969993,True,True,True
346_1,-13.368889060559695,1.6477739594969993,True,True,True
348_0,43.89851035998629,7.990150867457925,True,False,False
