INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
OSJPDGKAMMTTGQ	G3	C(CO)(C(CO)C(CO)(C)O)=O	NaN	NaN
PLGOEWNSOOGISL	G3	C(CO)(CC(CO)(CCO)O)=O	5	-182.88
YFVHWIATBOLLAX	G3	C(C)(C(C(CO)(CCO)O)O)=O	5	-187.27
DKJDDXJJYXHLFR	G3	C(C(C(C)O)O)(CCO)=O	5	-177.51
UCBNXCDBZHMDGF	G3	C(CO)(C(CO)C(C)O)=O	5	-170.79
JCOSEBVXWDUOFU	G3	C(CC(CO)(CCO)O)=O	5	-168.48
HDSWTILTIGAHJT	G3	C(C(C(C=O)O)O)(CC(C)O)=O	5	-277.44
BPNLIVPLQNLIGW	G3	C(CC(C(C(C(C)=O)O)O)O)=O	4	-172.66
ZHKXGIAQAXTAMP	G3	C(CC(C)(C(C(C=O)O)O)O)=O	5	-272.8
GRCKFGQFRRODIE	G3	C(CO)(CC(CO)(C)O)=O	3	-194.60999999999999
CBUKMSAKZIPOGL	G3	C(C)(C(C(CO)(C)O)O)=O	3	-199.0
YXINUGWAIZLHJK	G3	C(C(CC(CC(CO)=O)O)O)=O	4	-168.27
QXPRRNBQNVREIJ	G3	C(C(CC(C(C(C)=O)O)O)O)=O	4	-172.66
UFDQVKKZIJVGJA	G3	C(C(C(CO)(C)O)C(C=O)O)=O	NaN	NaN
IDBTYBMNHBMAOU	G3	C(CC(CO)(C(CO)O)O)=O	4	-112.21
IWASYLACXSGJPG	G3	C(C(C(C)O)O)(C(CO)O)=O	4	-121.24
AVGPOAXYRRIZMM	G3	C(C(C(CO)(CO)O)O)=O	4	-141.2
ZAQJHHRNXZUBTE	G3	C(CO)(C(C(CO)O)O)=O	4	-145.83999999999997
PYMYPHUHKUWMLA	G3	C(C(C(C(CO)O)O)O)=O	NaN	NaN
IEHDXMKHICIRFU	G3	C(CC(CO)(C(C=O)O)O)=O	4	-165.35999999999999
SSUDYWNAIOLNKR	G3	C(C(C(CO)=O)C(CO)O)=O	4	-163.29
LTIXNERYDWMFRC	G3	C(C(C(C)(C(C=O)O)O)O)=O	NaN	NaN
VTPHIABIXGEURA	G3	C(C(C(C)(C(CO)O)O)O)=O	5	-187.03000000000003
FAGPJBHKKUOQAR	G3	C(C(CCO)(C(C=O)O)O)=O	4	-165.37
JOEMRRCMXVASPX	G3	C(C(C(CO)C(CO)O)=O)=O	4	-163.28
PDHFWRCDNWXIRJ	G3	C(C(C(CO)(CCO)O)O)=O	5	-182.63
GNQPJPMTQHCZDA	G3	C(CO)(C(CO)C(CO)O)=O	5	-180.54
CGIVHSMOEAEFQI	G3	C(C(C(C(C=O)O)O)O)=O	NaN	NaN
HTPZSALIZDTBIL	G3	C(C(C(CO)(C)O)O)=O	3	-194.35999999999999
KKLZOXZZESQNKR	G3	C(CO)(CC(CO)O)=O	3	-194.60999999999999
IGUZJYCAXLYZEE	G3	C(C)(C(C(CO)O)O)=O	3	-199.0
HIPAGLNATSXMFT	G3	C(C(C(CO)O)C(C=O)O)=O	4	-161.28
UFYGCFHQAXXBCF	G3	C(C(CCO)O)(O)=O	4	-82.93
KUSWJOPOFIZCSN	G3	C(CC(C(O)=O)O)(CCO)=O	3	-97.28999999999999
ICELZWMGQRGTFX	G3	C(C(CCC(CO)=O)O)(O)=O	3	-97.28999999999999
LZWYDLFSHVJXCF	G3	C(C(CC(C(C)=O)O)O)(O)=O	3	-101.68
SLLURUDMWUFLKC	G3	C(CC(CC(C(O)=O)O)O)=O	3	-95.28999999999999
FWTFAZWTXINKAL	G3	C(C(CCO)(CC=O)O)(O)=O	3	-92.65
PUJKYDSEIJLNGJ	G3	C(C(C)(CC(C=O)O)O)(O)=O	3	-97.03
