INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
GFWPPSOBTSFMCO	G3	C(CNC(C(CN)=O)CO)=O	NaN	NaN
VIXZLXUEUNVHID	G3	C(CN)(C(CO)N)=O	NaN	NaN
BUFAGBTWFUCFMU	G3	C(CO)(CNCC(CO)=O)=O	NaN	NaN
WMAWUYGJPNBUQG	G3	C(CO)(CNCCO)=O	3	-102.49
WKMZZYMHPNDCQD	G3	C(CNCC(CO)=O)(O)=O	3	-107.71
LMXRVJUGGJXBPL	G3	C(C(CNCC(CO)=O)O)=O	3	-107.13999999999999
RFCCAHHFHGOKIP	G3	C(CNCCO)(C(CO)O)=O	3	-86.26
DITRGZRJMYHJGN	G3	C(CNCC(O)=O)(C(CO)O)=O	3	-91.48
GTVWKZXSTSBFGC	G3	C(CNCC=O)(C(CN)O)=O	NaN	NaN
QTDGYLRDGBGVQW	G3	C(CNC(C(CO)=O)CN)=O	NaN	NaN
MAHYCVYRGZNDCE	G3	C(CNCC=O)(C(CO)N)=O	NaN	NaN
OOJJPSMERBMANE	G3	C(C(C(CNCC=O)O)O)(O)=O	4	-89.48
VMWHZZCFIPURJF	G3	C(C(C(C(CO)N)O)O)O	NaN	NaN
FQORWEQXRQVPBZ	G3	C(C(C(C(C(CO)N)O)O)O)O	NaN	NaN
XZXHZMMPPLVBHM	G3	C(C(C(CN)O)N)O	3	-114.82000000000001
KJJPLEZQSCZCKE	G3	C(C(CO)N)O	3	-69.18
HEBKCHPVOIAQTA	G3	C(C(C(C(CO)O)O)O)O	3	-70.94
WIFPJDJJFUSIFP	G3	C(C(C(CN)O)O)O	3	-59.68
PMLGQXIKBPFHJZ	G3	C(C(C(CO)O)N)O	3	-52.95
GRJYCUXQJJMRKX	G3	C(C(CO)(C(CN)O)O)O	3	-86.63
KQAJPNNQNURMRU	G3	C(C(C(CO)O)(C(CN)O)O)O	3	-70.4
HXYJZJOQRLOUPP	G3	C(C(CO)(CO)O)O	3	-84.52
SDXWEZQDLHNYFR	G3	C(C(CO)(C(CO)O)O)O	3	-68.28999999999999
RHMGIDQVAMTKJW	G3	C(CNCC(CO)O)=O	3	-100.49
IGQRCNKKLSTBMG	G3	C(C(CNCCO)O)=O	3	-100.49
LVYNGMWZWZXHKP	G3	C(CNC(CO)C(CO)O)=O	NaN	NaN
AMMDEUXMKPKYAJ	G3	C(C(C(CO)NCCO)O)=O	3	-77.53
KQIGMPWTAHJUMN	G3	C(C(CN)O)O	3	-75.91
LYCRDZDACLCUCZ	G3	C(C(C(C(CO)O)O)N)(O)=O	NaN	NaN
ACWKOLUJJZRCNF	G3	C(C(C(CN)O)N)(O)=O	NaN	NaN
MTCFGRXMJLQNBG	G3	C(C(CO)N)(O)=O	3	-74.4
JBNUARFQOCGDRK	G3	C(C(C(CO)O)N)(O)=O	3	-58.17
WAFGDZATQJVQRP	G3	C(C(CO)(C(CN)O)O)(O)=O	3	-91.85000000000001
OJSKBWPAXWEHAA	G3	C(C(CO)(CO)O)(O)=O	3	-89.74000000000001
FDUDNAAWAZGESB	G3	C(C(CNCC=O)O)(O)=O	3	-105.71
KJKQEYBTNQZQHS	G3	C(C(CNCC(O)=O)O)=O	3	-105.71
BWDKXDOHBSDQPX	G3	C(C(C(CO)NCC=O)O)(O)=O	3	-82.75
ZAJBKAIYTUVMJY	G3	C(C(C(CO)NCC(O)=O)O)=O	3	-82.75
BMYNFMYTOJXKLE	G3	C(C(CN)O)(O)=O	3	-81.13
MLDBXFQIDVIWHU	G3	C(C(C(CO)N)O)(O)=O	3	-58.17
LEROCUWPQFUSCC	G3	C1(CNCC(C1(CO)O)O)=O	NaN	NaN
ZKFJPLYHZMLDRQ	G3	C(C1(CNCC1O)O)=O	3	-142.44
KIIQCDRRMPNBFF	G3	C(C1(C(CNC1CO)O)O)=O	NaN	NaN
BKNVTHFMXSGRGJ	G3	C(C(C(CN)O)(C(C=O)O)N)=O	NaN	NaN
QJYFJSSCWWJNBK	G3	C(C(C(CN)O)(C(C)O)N)=O	NaN	NaN
XVZUXBQZZZXCMK	G3	C(C(CO)(C(C(CO)N)O)N)=O	NaN	NaN
MKIUQSMSVAUTKI	G3	C(C(CO)(C(C=O)O)N)=O	NaN	NaN
QVTRNWWJSAAJCA	G3	C(C(CO)(C(CO)(CO)O)N)=O	NaN	NaN
CJRYZAFXEQBBBC	G3	C(C(CO)(C(CN)(CO)O)N)=O	NaN	NaN
JFFLKTNXBRMQMK	G3	C(C(CO)(C(CC=O)O)N)=O	NaN	NaN
ROKUUIAOJQBBFO	G3	C(C(CO)(C(C=O)(C)O)N)=O	NaN	NaN
FZBDPFQWGZJRMP	G3	C(C(CO)(C(C(C)=O)O)N)=O	NaN	NaN
RJAZOPJVTUZQDS	G3	C(C(CO)(C(C)O)N)=O	3	-118.61999999999999
BENLJJQZPWDJQV	G3	C(C(CN)(C(C(CO)N)O)O)=O	3	-102.88999999999999
XOUADCGWTFNHON	G3	C(C(CO)(C(C(CN)O)O)N)=O	NaN	NaN
MDRZDIUOUABHGE	G3	C(C(C(CN)O)(C(C=O)O)O)=O	NaN	NaN
GYLKHSLNLFGTIU	G3	C(C(C(C)O)(C(CN)O)O)=O	3	-113.8
WEVZRHRCCMCJRK	G3	C(C(C(CO)O)(C(C=O)O)N)=O	NaN	NaN
WIBFUWRQHYISRX	G3	C(C(C(CO)O)(C(C)O)N)=O	NaN	NaN
PTAKHBNZXUQICD	G3	C(CN)(C(CO)(C(C=O)O)O)=O	NaN	NaN
SMFSTUZLWLOMDS	G3	C(C(CN)(C(C=O)O)O)=O	NaN	NaN
LVUYKJPIQOSMEO	G3	C(C(C(CO)N)(C(C=O)O)O)=O	NaN	NaN
CQWDTKLXNFTPKU	G3	C(C(CN)(C(CO)(CO)O)O)=O	3	-88.65
CLUAZGGJJOMMPW	G3	C(CO)(C(CO)(C(C)O)O)=O	3	-97.46
GNODWXNLUSRTGJ	G3	C(C(CN)(C(CO)(CN)O)O)=O	3	-106.97999999999999
LXEQBUDYXACQMF	G3	C(CN)(C(CO)(C(C)O)O)=O	NaN	NaN
WKRKESUWTIYINN	G3	C(C(CO)(C(C)O)O)(O)=O	3	-141.85999999999999
BKWLATJELHDHQZ	G3	C(C(C(C)O)(C(CN)O)O)(O)=O	4	-143.97
UINMWDACZNCASH	G3	C(C(C(CC=O)O)(CN)O)=O	NaN	NaN
BXCPYHCFLPQIJB	G3	C(C(C)(C(C=O)(CN)O)O)=O	3	-132.05
OSQHEPALADDTRX	G3	C(C(CN)(C(C(C)=O)O)O)=O	3	-136.69
ZQMCPLWIIABZAO	G3	C(C(CN)(C(C)O)O)=O	3	-130.03
ZVWOARHSYMVKBY	G3	C(C(C(C)O)(C(CO)N)O)=O	3	-107.07
SLUQSUBYENRPPM	G3	C(C(CN)(C(C(CN)O)O)O)=O	3	-109.62
VPJQUFUTSGJAHE	G3	C(C(CO)(C(C(CO)O)O)N)=O	NaN	NaN
WSANKFFCRFIPNH	G3	C(C(CO)(C(C(CO)N)O)O)=O	3	-84.55
YAVWISVERGTOHY	G3	C(C(CO)(C(C=O)O)O)=O	NaN	NaN
BCMSYLLAQDMXKN	G3	C(C(CO)(C(CO)(CN)O)O)=O	3	-88.63999999999999
KMZKNPYVLFCBJR	G3	C(C(CO)(C(CC=O)O)O)=O	3	-111.94999999999999
LLKJMSOIEJAFOF	G3	C(C(CO)(C(C=O)(C)O)O)=O	3	-113.71000000000001
KSPZMTWVXVIPRP	G3	C(C(CO)(C(C(C)=O)O)O)=O	3	-118.35
JQKDKERJPQSZLX	G3	C(C(CO)(C(C)O)O)=O	3	-111.69
PGDIHSKXDNRVKL	G3	C(C(CN)(C(C(CO)O)O)O)=O	3	-91.28
FLOYUNLRYNJXIQ	G3	C(C(CO)(C(C(CN)O)O)O)=O	3	-91.28
DXBKAMXGCDVWGR	G3	C(C(C(CO)O)(C(C)O)O)=O	3	-95.46
MFRXLKYAISLQCM	G3	C(C(C(CN)O)(C(CN)O)N)=O	NaN	NaN
QHVAQLOAVDQFAZ	G3	C(C(CO)(C(CN)O)N)=O	NaN	NaN
CRLVLHGYRTXMQN	G3	C(C(C(CN)O)(C(CN)O)O)=O	3	-63.79
JUWXFTHKXQFXCW	G3	C(C(C(CO)O)(C(CN)O)N)=O	NaN	NaN
MXJGUMSNHVOHEF	G3	C(CO)(C(CO)(C(CN)O)O)=O	3	-47.45
OCBNLNPQANMTKT	G3	C(CN)(C(CO)(C(CN)O)O)=O	NaN	NaN
LMZVIXNKDNYXPJ	G3	C(C(C(CN)O)(C(CN)O)O)(O)=O	4	-93.96000000000001
BAZNXRDYVGWQMJ	G3	C(C(C(C)=O)(C(CN)O)O)=O	3	-90.85000000000001
SOSCBKSKYDIZSS	G3	C(C(CN)(C(CN)O)O)=O	3	-80.02
