Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G5	C(C1C(CC(O1)O)(CCO)O)=O	RGYCFSFKCXODFP	38.4501	-1.6452	-0.364	5	3	86.99	-4.5924	5	168.46	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2885645578695
G5	C1(CC(CCO)(C(CO)O1)O)O	ZLGDSJBKEABYBP	26.2335	-1.4329	-0.149	5	4	90.15	-2.8311	5	174.64	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4284608047190142
G5	C(CC1C(CO)C(C(O)O1)O)=O	CAPPITSGEVGSCG	33.5805	-1.6739	-0.415	5	3	86.99	-2.3544	5	168.09	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.3954397744018237
G5	CC(CC1(COC(C1)O)O)O	GCBYZGOJMZPMEO	340.047	-0.4716	-0.656	4	3	69.92	-2.8876	4	166.25	162.089208928	C7H14O4	7	14	4	0.5714285714285714	2.0	0.5714285714285714	-0.23131935177535878
G5	CC(C1C(C)(CC(O)O1)O)O	QVQQHZUXHBCLAD	741.747	-0.6013	-0.764	4	3	69.92	-0.41322	4	162.81	162.089208928	C7H14O4	7	14	4	0.5714285714285714	2.0	0.5714285714285714	-0.23358421901757148
G5	C(CC1C(C(C)(C(O)O1)O)O)=O	BOUZFEOIDOOBHW	61.0424	-1.5706	-0.472	5	3	86.99	-0.070337	5	169.36	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2862996906272871
G5	C(C(C)(C1C(CC(O)O1)O)O)=O	MUKVJLNQPMXOKD	3269.61	-1.6577	-0.472	5	3	86.99	-3.3291	5	169.16	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.28629969062728733
G5	CC(CO)(C1C(CC(O)O1)O)O	OYRPUOKLHWCXET	2119.68	-1.4454	-0.257	5	4	90.15	-3.2738	5	160.61	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4261959374768015
G5	CC(C1C(CC(O)O1)O)O	PIPAQLDLZHBXTP	355.119	-0.8993	-0.655	4	3	69.92	-1.8448	4	145.34	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.1485157515136421
G5	C(CC1CC(C(CO)(O)O1)O)=O	HTFWLZFUFVNCDW	71.83	-1.6789	-0.502	5	3	86.99	-2.8347	5	171.18	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2885645578694998
