Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	30.1277	-1.2835	-0.558	5	3	94.83	-0.6894	5	171.94	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.26516369157306985
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	14.2987	-1.5196	-0.448	5	3	94.83	-1.6703	5	172.52	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.16174002060670437
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	22.6194	-1.1237	-0.663	5	3	94.83	-11.846	5	169.73	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	-0.2651636915730702
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	15.9172	-0.9582	-0.202	4	3	77.76	-2.7942	4	132.97	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	-0.025485884045205208
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	-9.57094	-1.3078	-0.184	5	3	94.83	1.0303	5	133.87	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	-0.1864243406392487
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	57.205	-2.3393	0.575	5	4	97.99	-0.8415	5	122.11	136.037173356	C4H8O5	4	8	5	1.25	2.0	1.25	1.0129426974144224
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	43.7851	-1.5469	-0.342	5	4	97.99	-1.6633	5	155.55	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.2545676585654453
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	33.8389	-1.4339	-0.201	4	3	77.76	0.18323	4	112.1	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	0.3543492192437957
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	76.4361	-1.1437	-0.141	4	3	77.76	-3.7615	4	127.68	132.042258736	C5H8O4	5	8	4	0.8	1.6	0.8	0.15398267298327187
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	44.459	-1.0843	-0.219	3	3	60.69	-1.7055	3	112.46	106.06299418	C4H10O3	4	10	3	0.75	2.5	0.75	0.5152876758378387
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	50.4187	-2.0013	-0.072	5	4	97.99	1.04	5	138.93	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	0.6332160835307001
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	53.1278	-1.98	0.197	5	4	97.99	2.2564	5	141.21	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	0.6320294052069546
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	69.6262	-1.8528	-0.366	5	4	97.99	-0.76782	5	167.16	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.8433311508453468
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	61.2334	-1.5547	-0.335	4	3	77.76	0.8525	4	121.52	132.042258736	C5H8O4	5	8	4	0.8	1.6	0.8	0.8396890405573318
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	10.8718	-1.4555	-0.249	4	3	77.76	-4.2768	4	151.35	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.3835632737607647
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	42.3788	-2.6896	-0.065	5	3	94.83	-3.2846	5	151.8	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.9011823161634097
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	1002.5	-2.456	0.419	5	4	97.99	-4.2278	5	151.86	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	1.0398918846891783
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	68.7629	-2.1552	0.096	5	4	97.99	-0.17952	5	162.48	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9342033464806007
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	80.4566	-2.8219	0.151	5	3	94.83	-1.1285	5	136.27	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.1729555245963417
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG	61.8992	-1.0263	-0.453	4	3	77.76	-1.0966	4	162.45	160.073558864	C7H12O4	7	12	4	0.5714285714285714	1.7142857142857142	0.5714285714285714	0.07179177648349208
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA	76.3371	-0.9596	-0.62	4	3	77.76	-1.0595	4	164.56	160.073558864	C7H12O4	7	12	4	0.5714285714285714	1.7142857142857142	0.5714285714285714	0.07524332204944964
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU	86.7317	-1.2604	-0.297	4	3	77.76	-7.0237	4	163.86	160.073558864	C7H12O4	7	12	4	0.5714285714285714	1.7142857142857142	0.5714285714285714	0.18093186025802846
