Network	Generation	Smiles
FormoseAmm	G3	C(C(CO)(C(CC=O)O)N)=O
FormoseAmm	G3	C(C(CO)(C(CC=O)O)O)=O
FormoseAmm	G3	C(C(CO)(C(CN)(CO)O)N)=O
FormoseAmm	G3	C(C(CO)(C(CN)O)N)=O
FormoseAmm	G3	C(C(CO)(C(CN)O)O)O
FormoseAmm	G3	C(C(CO)(C(CO)(CN)O)O)=O
FormoseAmm	G3	C(C(CO)(C(CO)(CO)O)N)=O
FormoseAmm	G3	C(C(CO)(C(CO)N)O)=O
FormoseAmm	G3	C(C(CO)(C(CO)O)N)=O
FormoseAmm	G3	C(C(CO)(C(CO)O)O)O
FormoseAmm	G3	C(C(CO)(CC(CO)=O)O)=O
FormoseAmm	G3	C(C(CO)(CN)O)=O
FormoseAmm	G3	C(C(CO)(CN)O)O
FormoseAmm	G3	C(C(CO)(CNCC=O)O)=O
FormoseAmm	G3	C(C(CO)(CO)N)=O
FormoseAmm	G3	C(C(CO)(CO)O)O
FormoseAmm	G3	C(C(CO)N)(O)=O
FormoseAmm	G3	C(C(CO)N)O
FormoseAmm	G3	C(C(CO)NC(C=O)CO)=O
FormoseAmm	G3	C(C(CO)NCC(C=O)O)=O
FormoseAmm	G3	C(C(CO)NCC(CN)=O)=O
FormoseAmm	G3	C(C(CO)NCC(CO)=O)=O
FormoseAmm	G3	C(C(CO)NCCO)=O
FormoseAmm	G3	C(C(CO)O)(C(C(C)O)N)=O
FormoseAmm	G3	C(C(CO)O)(C(C(CN)O)N)=O
FormoseAmm	G3	C(C(CO)O)(C(C(CO)O)N)=O
FormoseAmm	G3	C(C(CO)O)(C(CO)N)=O
FormoseAmm	G3	C(C(CO)O)(C(CO)O)=O
FormoseAmm	G3	C(C)(C(C(C(CN)=O)O)O)=O
FormoseAmm	G3	C(C)(C(C(C(CO)=O)O)O)=O
FormoseAmm	G3	C(C1(C(CNC1CO)O)O)=O
FormoseAmm	G3	C(C1(CNCC1O)O)=O
FormoseAmm	G3	C(C1C(C(C(CO)N1)O)O)=O
FormoseAmm	G3	C(C1C(C(CN1)O)O)=O
FormoseAmm	G3	C(CC(C(C(C=O)N)O)O)=O
FormoseAmm	G3	C(CC(C(C(C=O)O)O)O)=O
FormoseAmm	G3	C(CC(C(C(CN)=O)O)O)=O
FormoseAmm	G3	C(CC(C(C(CN)O)N)O)=O
FormoseAmm	G3	C(CC(C(C(CN)O)O)=O)=O
FormoseAmm	G3	C(CC(C(C(CN)O)O)O)=O
FormoseAmm	G3	C(CC(C(C(CO)=O)N)O)=O
FormoseAmm	G3	C(CC(C(C(CO)=O)O)O)=O
FormoseAmm	G3	C(CC(C(C(CO)N)O)O)=O
FormoseAmm	G3	C(CC(C(C(CO)O)N)O)=O
FormoseAmm	G3	C(CC(C(C(CO)O)O)=O)=O
FormoseAmm	G3	C(CC(C(C(CO)O)O)O)=O
FormoseAmm	G3	C(CC(C(CN)O)O)=O
FormoseAmm	G3	C(CC(C(CO)(CO)O)O)=O
FormoseAmm	G3	C(CC(C(CO)N)O)=O
FormoseAmm	G3	C(CC(C(CO)O)O)=O
FormoseAmm	G3	C(CC(C=O)N)(C(CO)O)=O
FormoseAmm	G3	C(CC(C=O)O)(C(CO)O)=O
FormoseAmm	G3	C(CC(CN)(C(CO)O)O)=O
