Network	Generation	Smiles
Formose	G4	C(C(C=O)(CO)C(CCO)O)=O
Formose	G4	C(C(C=O)(CO)C(CO)O)=O
Formose	G4	C(C(C=O)C(C(C(C)O)O)O)=O
Formose	G4	C(C(C=O)C(C(CCO)O)O)=O
Formose	G4	C(C(C=O)C(C)(C(CO)O)O)=O
Formose	G4	C(C(C=O)C(CC(CO)O)O)=O
Formose	G4	C(C(C=O)C(CO)(CCO)O)=O
Formose	G4	C(C(CC(C(C(C)=O)O)O)O)=O
Formose	G4	C(C(CC(C(C(C)O)O)O)=O)=O
Formose	G4	C(C(CC(C(C)=O)O)O)(O)=O
Formose	G4	C(C(CC(C(CCO)O)O)=O)=O
Formose	G4	C(C(CC(C(CO)=O)O)O)=O
Formose	G4	C(C(CC(C(CO)O)O)O)=O
Formose	G4	C(C(CC(C)(C(CO)O)O)=O)=O
Formose	G4	C(C(CC(C)(CO)O)=O)(O)=O
Formose	G4	C(C(CC(C)O)(C(C=O)O)O)=O
Formose	G4	C(C(CC(CC(C)O)O)=O)(O)=O
Formose	G4	C(C(CC(CC(CO)=O)O)O)=O
Formose	G4	C(C(CC(CC(CO)O)O)=O)=O
Formose	G4	C(C(CC(CCO)O)O)=O
Formose	G4	C(C(CC(CO)(CCO)O)=O)=O
Formose	G4	C(C(CC(CO)O)(CC=O)O)=O
Formose	G4	C(C(CCC(C(CO)O)O)=O)=O
Formose	G4	C(C(CCC(CO)(CO)O)=O)=O
Formose	G4	C(C(CCO)(C(C(C)=O)O)O)=O
Formose	G4	C(C(CCO)(C(C=O)(C)O)O)=O
Formose	G4	C(C(CCO)(C(CCO)O)O)=O
Formose	G4	C(C(CCO)(C(CO)(C)O)O)=O
Formose	G4	C(C(CCO)(CC(CO)=O)O)=O
Formose	G4	C(C(CCO)(CCO)O)=O
Formose	G4	C(C(CCO)O)(CCO)=O
Formose	G4	C(C(CCO)O)O
Formose	G4	C(C(CO)(C(C(C=C)=O)O)O)=O
Formose	G4	C(C(CO)(C(C)(CC=O)O)O)=O
Formose	G4	C(C(CO)(C(C)O)C(C=O)O)=O
Formose	G4	C(C(CO)(C(C=CC=O)O)O)=O
Formose	G4	C(C(CO)(C(CC(C)O)O)O)=O
Formose	G4	C(C(CO)(C(CCO)O)O)=O
Formose	G4	C(C(CO)(C(CCO)O)O)O
Formose	G4	C(C(CO)(C(CO)(C)O)O)=O
Formose	G4	C(C(CO)(C)O)(O)=O
Formose	G4	C(C(CO)(CC(CC=O)O)O)=O
Formose	G4	C(C(CO)(CC=O)O)(CCO)=O
Formose	G4	C(C(CO)(CCO)O)=O
Formose	G4	C(C(CO)(CCO)O)O
Formose	G4	C(C(CO)(CO)C(C=O)O)=O
Formose	G4	C(C(CO)=O)(C(CO)CO)=O
Formose	G4	C(C(CO)=O)(C(CO)O)=O
Formose	G4	C(C(CO)=O)(CC(CCO)O)=O
Formose	G4	C(C(CO)=O)(CC(CO)(C)O)=O
Formose	G4	C(C(CO)=O)(CC(CO)O)=O
Formose	G4	C(C(CO)C(C(C(C)=O)O)O)=O
Formose	G4	C(C(CO)C(C(C(C)O)=O)O)=O
