Generation	NetworkSmiles	PathwayFound?
G3	C(C(C(CO)N)(C(C=O)O)O)=O	False
G3	C(C(CN)(C(CO)(CO)O)O)=O	True
G3	C(CO)(C(CO)(C(C)O)O)=O	True
G3	C(C(CN)(C(CO)(CN)O)O)=O	True
G3	C(CN)(C(CO)(C(C)O)O)=O	False
G3	C(C(CO)(C(C)O)O)(O)=O	True
G3	C(C(C(C)O)(C(CN)O)O)(O)=O	True
G3	C(C(C(CC=O)O)(CN)O)=O	False
G3	C(C(C)(C(C=O)(CN)O)O)=O	True
G3	C(C(CN)(C(C(C)=O)O)O)=O	True
G3	C(C(CN)(C(C)O)O)=O	True
G3	C(C(C(C)O)(C(CO)N)O)=O	True
G3	C(C(CN)(C(C(CN)O)O)O)=O	True
G3	C(C(CO)(C(C(CO)O)O)N)=O	False
G3	C(C(CO)(C(C(CO)N)O)O)=O	True
G3	C(C(CO)(C(C=O)O)O)=O	False
G3	C(C(CO)(C(CO)(CN)O)O)=O	True
G3	C(C(CO)(C(CC=O)O)O)=O	True
G3	C(C(CO)(C(C=O)(C)O)O)=O	True
G3	C(C(CO)(C(C(C)=O)O)O)=O	True
G3	C(C(CO)(C(C)O)O)=O	True
G3	C(C(CN)(C(C(CO)O)O)O)=O	True
G3	C(C(CO)(C(C(CN)O)O)O)=O	True
G3	C(C(C(CO)O)(C(C)O)O)=O	True
G3	C(C(C(CN)O)(C(CN)O)N)=O	False
G3	C(C(CO)(C(CN)O)N)=O	False
G3	C(C(C(CN)O)(C(CN)O)O)=O	True
G3	C(C(C(CO)O)(C(CN)O)N)=O	False
G3	C(CO)(C(CO)(C(CN)O)O)=O	True
G3	C(CN)(C(CO)(C(CN)O)O)=O	False
G3	C(C(C(CN)O)(C(CN)O)O)(O)=O	True
G3	C(C(C(C)=O)(C(CN)O)O)=O	True
G3	C(C(CN)(C(CN)O)O)=O	True
G3	C(C(C(CN)O)(C(CO)N)O)=O	True
G3	C(C(CO)(CO)N)=O	True
G3	C(C(CO)(C(CO)O)N)=O	False
G3	C(CO)(C(CO)(CO)O)=O	True
G3	C(CN)(C(CO)(CO)O)=O	False
G3	C(C(CO)(CNCC=O)O)=O	True
G3	C(C(CO)(CN)O)=O	True
G3	C(C(CO)(C(CO)N)O)=O	True
G3	C(C(C(CO)O)(C(CO)O)N)=O	False
G3	C(CN)(C(CO)(C(CO)O)O)=O	False
G3	C(C(C(C)=O)(C(CO)O)O)=O	True
G3	C(C(CN)(C(CO)O)O)=O	True
G3	C(C(C(CO)O)(C(CO)N)O)=O	True
G3	C(C(C(C(C(CN)O)N)O)N)(O)=O	False
G3	C(C(C(C(CO)N)O)N)(O)=O	False
G3	C(C(C(C(C(CN)O)O)O)N)(O)=O	False
G3	C(C(C(C(C(CO)O)N)O)N)(O)=O	False
G3	C(C(C(C=O)O)N)(O)=O	False
G3	C(C(C(CO)(CO)O)N)(O)=O	False
G3	C(C(C(CN)(CO)O)N)(O)=O	False
G3	C(C(C(CN)(C(CO)O)O)N)(O)=O	False
G3	C(C(C(CNCC=O)O)N)(O)=O	False
G3	C(CC(C(C(O)=O)N)O)=O	False
G3	C(C(C)(C(C(O)=O)N)O)=O	False
G3	C(C(C(C(C)=O)O)N)(O)=O	False
G3	C(C(CCO)(C(C(O)=O)N)O)=O	False
G3	C(C(C(C(CCO)=O)O)N)(O)=O	False
G3	C(CC(C(C(C(O)=O)N)O)O)=O	False
G3	C(C(C(CC(C=O)O)O)N)(O)=O	False
G3	C(C(C(CC(CO)=O)O)N)(O)=O	False
G3	C(CC(CO)(C(C(O)=O)N)O)=O	False
G3	C(C(C(C(C(C)=O)O)O)N)(O)=O	False
G3	C(C(C(C)(C(C=O)O)O)N)(O)=O	False
G3	C(C(C(C)O)N)(O)=O	False
G3	C(C(C(C(CN)O)O)N)(O)=O	False
G3	C(C(C(C(C(CO)N)O)O)N)(O)=O	False
G3	C(C(C(CN)O)(CC=O)O)=O	True
G3	C(C(C(C(C(CN)O)N)O)O)(O)=O	False
G3	C(C(C(C(CO)N)O)O)(O)=O	False
G3	C(C(C(C=O)O)O)(O)=O	False
G3	C(C(C(CO)(CN)O)O)(O)=O	False
G3	C(CC(C(C(O)=O)O)O)=O	True
G3	C(C(C)(C(C(O)=O)O)O)=O	False
G3	C(C(C(C(C)=O)O)O)(O)=O	True
G3	C(C(C(C)O)O)(O)=O	False
G3	C(C(C(C(CN)O)O)O)(O)=O	False
G3	C(C(C(CO)O)(CC=O)O)=O	True
G3	C(CN)(C(CO)NCCO)=O	False
G3	C(CNC(C(CN)=O)CO)(O)=O	False
G3	C(CC(C=O)N)(C(CO)O)=O	False
G3	C(C(C(CC(CO)O)=O)N)=O	False
G3	C(CC(C=O)O)(C(CO)O)=O	True
G3	C(C(CO)(CC(CO)=O)O)=O	True
G3	C(C(C(CCO)=O)(CO)O)=O	True
G3	C(C(C(C(CO)O)=O)CO)=O	True
G3	C(C(C(CN)=O)C(CO)O)=O	True
G3	C(C(CC(CO)=O)O)(O)=O	True
G3	C(C(C(CCO)=O)O)(O)=O	True
G3	C(CC(C(CO)O)=O)(O)=O	True
G3	C(C(CC(CO)O)=O)(O)=O	True
G3	C(C(CO)O)=C(C=O)N	False
G3	C(C(C(CO)O)O)=C(C=O)N	False
G3	C(C(C=CN)(CO)O)=O	False
G3	C(C(C=CN)(C(CO)O)O)=O	False
G3	C(C(C=CN)O)(O)=O	False
G3	C(C(C(CN)NCCO)N)=O	False
G3	C(C(C(CN)NCC(O)=O)N)=O	False
G3	C(C(CNC(C=O)CO)N)=O	False
G3	C(C(CNCC(CO)=O)N)=O	False
G3	C(C(CNCCO)N)=O	True
G3	C(C(CO)NCC(C(O)=O)O)=O	True
G3	C(C(CNCC(O)=O)N)=O	False
G3	C(C(CNCC(C=O)O)N)=O	False
G3	C(C(C(CN)NCCO)O)=O	False
G3	C(C(C(CN)NCC(O)=O)O)=O	False
G3	C(C(C(CO)NCCO)N)=O	False
G3	C(C(C(CO)NCC(O)=O)N)=O	False
G3	C(CO)(C(CNCCO)O)=O	True
G3	C(CNCC(C(CO)=O)O)(O)=O	True
G3	C(C(CNCC(CO)=O)O)(O)=O	True
G3	C(CN)(C(CNCCO)O)=O	True
G3	C(CN)(C(CNCC(O)=O)O)=O	True
G3	C(C(CNCCO)O)(O)=O	True
G3	C(C(C(CO)NCCO)O)(O)=O	True
G3	C(C(C(CN)NCCO)O)(O)=O	False
G3	C(C(CNCC(O)=O)O)(O)=O	True
G3	C(C(CNCC(C=O)O)O)(O)=O	True
G3	C(C(C(CN)NCC(O)=O)O)(O)=O	False
G3	C(C(C(C(CO)O)N)N)=O	False
G3	C(C(C(C(C(CO)O)O)N)N)=O	False
G3	C(C(C(CN)N)N)=O	False
G3	C(C(C(C(CO)O)N)O)=O	True
G3	C(C(C(C(C(CO)O)O)N)O)=O	True
G3	C(C(C(CN)N)O)=O	False
G3	C(C(C(CO)N)N)=O	False
G3	C(C(C(C(CO)O)N)O)(O)=O	True
G3	C(C(C(CN)N)O)(O)=O	False
G3	C(C(CNCC(C=O)O)O)=O	True
G3	C(C(C(CN)NCC=O)N)=O	False
G3	C(C(C(CN)NCC=O)O)=O	False
G3	C(C(C(CO)NCC=O)N)=O	False
G3	C(CN)(C(CNCC=O)O)=O	True
G3	C(C(C(CN)NCC=O)O)(O)=O	False
G3	C(C1C(C(C(O)O1)N)O)O	False
G3	C(C(C1C(C(C(O)O1)N)O)O)O	False
G3	C(C1C(C(C(O)O1)O)O)O	True
G3	C1C(C(C(O)O1)N)O	False
G3	C1C(C(C(O)O1)(C(CN)O)O)O	True
G3	C1C(C(C(O)O1)(CO)O)O	True
G3	C(CNC1COC(C1O)O)=O	False
G3	C1C(C(C(O)O1)O)N	False
G3	C1C(C(C(C(O)O1)N)O)O	False
G3	C(C1C(C(C(C(O)O1)N)O)O)O	False
G3	C1C(C(C(C(O)O1)O)O)O	True
G3	C1C(C(C(C(C(O)O1)N)O)O)O	False
G3	C(C(C(C(CN)N)O)O)O	False
G3	C(C(C(C(C(CN)N)O)O)O)O	False
G3	C(C(C(CN)O)N)N	False
G3	C(C(CN)N)O	True
G3	C(C(C(C(CN)O)O)O)O	True
G3	C(C(C(C(C(CN)O)O)O)O)O	True
G3	C(C(C(CN)O)O)N	True
G3	C(C(C(CN)N)O)O	True
G3	C(CNCC(CO)N)=O	False
G3	C(CO)(CNCCN)=O	False
G3	C(CNCC(C(CO)O)N)=O	False
G3	C(CNCCN)(C(CO)O)=O	False
G3	C(C(CN)(C(C(CO)O)O)O)O	True
G3	C(C(CN)(C(CN)O)O)O	True
G3	C(C(C(CN)(C(CN)O)O)O)O	True
G3	C(C(CO)(CN)O)O	True
G3	C(C(CN)(C(CO)O)O)O	True
G3	C(C(C(CN)(C(CO)O)O)O)O	True
G3	C(CNCC(CN)O)=O	True
G3	C(C(CNCCN)O)=O	True
G3	C(CNC(CO)C(CN)O)=O	False
G3	C(C(C(CO)NCCN)O)=O	False
G3	C(C(CN)O)N	True
G3	C1(C(C(C(CO)O1)O)O)=O	True
G3	C1(C(C(C(CO1)O)O)O)=O	True
